texcl,lieutex,chtgkey,chtkey
Silty clay loam,,102676897,104439667
Silt loam,,102676898,104440207
Silty clay loam,,102676882,104439668
Silt loam,,102676883,104439535
Silty clay loam,,102676884,104439669
Silty clay loam,,102676885,104439534
Silt loam,,102676886,104440206
Silty clay loam,,102676887,104439533
Silt loam,,102676888,104440205
Silty clay loam,,102676880,104439536
Silt loam,,102676891,104439532
Silty clay loam,,102676892,104439665
Silty clay loam,,102676895,104439666
Silt loam,,102676896,104440076
Silty clay loam,,102676881,104440208
Silt loam,,102676889,104440079
Silty clay loam,,102676890,104440080
Silt loam,,102676893,104440077
Silty clay loam,,102676894,104440078
Silty clay loam,,102677924,104440908
Silty clay loam,,102677925,104440910
Silty clay loam,,102677926,104441405
Silt loam,,102677927,104440909
Silty clay loam,,102677928,104441025
Silty clay loam,,102677915,104441528
Silty clay loam,,102677916,104440495
Silt loam,,102677917,104441125
Silty clay loam,,102677918,104441527
Silt loam,,102677919,104440361
Silty clay loam,,102677921,104440494
Silty clay loam,,102677920,104440360
Silty clay loam,,102677923,104441024
Silty clay loam,,102677929,104441287
Silty clay loam,,102677931,104441289
Silt loam,,102677932,104441290
Silt loam,,102677922,104440359
Silty clay loam,,102677930,104441288
Silty clay loam,,102677933,104441026
Silty clay loam,,102679067,104440541
Silt loam,,102679068,104440404
Silty clay loam,,102679069,104441253
Silt loam,,102679070,104441254
Silt loam,,102679071,104441167
Silty clay loam,,102679072,104441168
Silty clay loam,,102679073,104441169
Silt loam,,102679074,104441170
Silt loam,,102679061,104441580
Silty clay loam,,102679062,104441581
Silty clay loam,,102679065,104440540
Silt loam,,102679066,104440403
Silty clay loam,,102679075,104441171
Silt loam,,102679076,104440542
Silty clay loam,,102679063,104440867
Silt loam,,102679064,104440980
