geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,interfluves,,1,2,Yes,17593620,26668984
Landscape,till plains,dissected,2,NA,Yes,17593620,26668985
Landform,interfluves,,1,2,Yes,17593621,26668986
Landscape,till plains,dissected,2,NA,Yes,17593621,26668987
Landform,interfluves,,1,2,Yes,17593733,26668792
Landscape,till plains,dissected,2,NA,Yes,17593733,26668793
Landform,interfluves,,2,1,Yes,17593734,26668794
Landscape,till plains,dissected,2,NA,Yes,17593734,26668795
Landform,interfluves,,1,2,Yes,17593893,26668998
Landscape,till plains,dissected,2,NA,Yes,17593893,26668999
Landform,interfluves,,1,2,Yes,17593894,26669000
Landscape,till plains,dissected,2,NA,Yes,17593894,26669001
