areaovacres,lareaovkey,mukey,muareaovkey
21668,402045,409403,23854673
21668,402046,409403,23854674
21668,402048,409403,23854675
21668,402050,409403,23854676
21668,402051,409403,23854677
48182,402045,409406,23854813
48182,402046,409406,23854814
48182,402049,409406,23854815
48182,402050,409406,23854816
48182,402051,409406,23854817
39464,402045,409408,23854833
39464,402046,409408,23854834
39464,402049,409408,23854835
39464,402050,409408,23854836
39464,402051,409408,23854837
