pmgroupname,rvindicator,cokey,copmgrpkey
fine-silty loess,Yes,17593620,12720457
fine-silty loess,Yes,17593621,12720456
fine-silty loess,Yes,17593733,12720423
fine-silty loess,Yes,17593734,12720424
fine-silty loess,Yes,17593893,12720462
fine-silty loess,Yes,17593894,12720463
