hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26668792,11038243
Summit,26668794,11038244
Shoulder,26668984,11038227
Summit,26668984,11038228
Shoulder,26668986,11038225
Summit,26668986,11038226
Shoulder,26668998,11038543
Summit,26668998,11038544
Shoulder,26669000,11038545
Summit,26669000,11038546
