featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,41,51,65,41,51,65,17593620,8538659
Argillic horizon,45,51,65,95,107,130,50,56,65,17593620,8538660
Aquic conditions,50,51,60,100,107,200,50,56,140,17593620,8538661
Argillic horizon,30,46,64,90,114,174,60,68,110,17593621,8538655
Redox depletions with chroma 2 or less,90,114,174,140,152,200,25,38,75,17593621,8538656
Redox concentrations,60,81,110,140,152,200,50,71,100,17593621,8538657
Mollic epipedon,0,0,0,30,46,64,30,46,64,17593621,8538658
Mollic epipedon,0,0,0,44,51,71,44,51,71,17593733,8538779
Aquic conditions,44,51,71,150,200,200,106,149,156,17593733,8538780
Cambic horizon,44,51,71,95,107,161,51,56,90,17593733,8538781
Mollic epipedon,0,0,0,35,46,60,35,46,60,17593734,8538782
Cambic horizon,35,46,60,85,107,140,25,61,105,17593734,8538783
Ochric epipedon,0,0,0,10,15,20,10,15,20,17593893,8538673
Cambic horizon,10,15,20,60,84,102,50,69,82,17593893,8538674
