set_id,outfile,site,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing
0,nash_CC_270.out,nash,1999-12-31,1999,54.354,0,54.354,0,0,1306.625,126.000,185,266,4.225,679.829,239.989,1,1.992,1,1102.386,2878.3,24.4,0.283,0.31
0,nash_CC_270.out,nash,2000-12-31,2000,237,237,0,8,8,1517.297,126.000,196,254,4.888,749.791,333.544,1.983,1.997,1.768,2146.876,729.6,8.4,0.319,0.242
0,nash_CC_270.out,nash,2001-12-31,2001,51.48,0,51.48,0,0,1545.417,126.000,188,270,4.199,613.804,232.249,1,2,1,1659.526,3265.6,27,0.281,0.303
0,nash_CC_270.out,nash,2002-12-31,2002,250.34,250.34,0,8,8,1434.5,128.000,192,247,4.825,782.814,338.69,1.94,2,1.733,2211.878,420.1,5,0.291,0.285
0,nash_CC_270.out,nash,2003-12-31,2003,61.314,0,61.314,0,0,1395.402,128.000,190,0,5.679,661.689,303.987,0.941,2,1,1694.159,2822,23.2,0.266,0.306
0,nash_CC_270.out,nash,2004-12-31,2004,253.723,253.723,0,8,8,1259.707,129.000,200,263,4.862,719.044,306.077,1.994,1.986,1.808,1584.209,715,8.4,0.294,0.288
0,nash_CC_270.out,nash,2005-12-31,2005,258.582,258.582,0,8.7,8.7,1299.947,128.000,198,254,5.149,691.945,359.721,1.994,1.986,1.817,1473.851,2949.9,25.7,0.303,0.313
0,nash_CC_270.out,nash,2006-12-31,2006,196.8,196.8,0,8.7,8.7,1513.203,127.000,199,256,5.324,645.742,331.143,1.977,1.998,1.838,1864.961,2770.9,23.8,0.313,0.307
0,nash_CC_270.out,nash,2007-12-31,2007,244.063,244.063,0,8.7,8.7,1473.405,130.000,198,254,5.354,645.628,347.762,1.992,1.989,1.872,1449.648,3823.7,35.5,0.307,0.313
0,nash_CC_270.out,nash,2008-12-31,2008,250.014,250.014,0,8.7,8.7,1304.963,137.000,207,270,5.02,638.972,323.725,1.994,1.981,1.887,1545.567,3241.1,28,0.313,0.337
0,nash_CC_270.out,nash,2009-12-31,2009,248.351,248.351,0,8.7,0,1414.661,116.000,194,258,5.281,644.966,354.865,1.995,1.991,1.771,1628.624,3342.3,28.7,0.32,0.29
0,nash_CC_270.out,nash,2010-12-31,2010,255.874,255.874,0,8.9,8.9,1177.192,117.000,192,243,5.468,620.942,360.6,1.994,1.982,1.833,1275.989,5263.6,40.9,0.312,0.311
0,nash_CC_270.out,nash,2011-12-31,2011,236.228,236.228,0,8.7,8.7,1404.019,131.000,201,255,5.032,630.761,327.806,1.994,1.991,1.815,1648.417,3470.4,24.2,0.3,0.319
0,nash_CC_270.out,nash,2012-12-31,2012,236.728,236.728,0,8.7,8.7,1512.634,125.000,192,244,5.157,794.725,412.224,1.686,1.998,1.862,1984.851,1940.2,16.7,0.289,0.307
0,nash_CC_270.out,nash,2013-12-31,2013,205.062,205.062,0,8.7,8.7,1451.649,139.000,207,270,5.439,717.079,410.063,1.8,1.987,1.831,1848.024,2217,22.3,0.226,0.323
0,nash_CC_270.out,nash,2014-12-31,2014,211.654,211.654,0,8.7,8.7,1312.996,136.000,206,272,4.854,516.634,296.231,1.994,1.977,1.88,1483.561,5392.3,50.7,0.313,0.331
0,nash_CC_270.out,nash,2015-12-31,2015,250.769,250.769,0,8.7,8.7,1276.696,125.000,199,257,5.306,677.842,350.702,1.993,1.991,1.836,1522.45,3094.4,27.8,0.315,0.309
0,nash_CC_270.out,nash,2016-12-31,2016,223.264,223.264,0,8.7,8.7,1072.717,116.000,192,245,5.251,638.564,319.738,1.994,1.961,1.758,1004.686,2937.3,25.7,0.312,0.298
0,nash_CC_270.out,nash,2017-12-31,2017,69.236,69.236,0,8.7,8.7,1203.438,130.000,199,261,3.18,511.032,168.636,1.994,1.974,1.609,1213.166,3000.9,25.3,0.3,0.305
0,nash_CC_270.out,nash,2018-12-31,2018,103.174,103.174,0,8.7,8.7,990.232,128.000,192,248,2.828,510.176,146.519,1.994,1.941,1.548,897.582,2599.7,20.9,0.312,0.3
