ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R107BY007MO,Loess Upland Prairie,18663930,5417995
NRCS Rangeland Site,Ecological Site Description Database,R108DY833IA,Till Backslope Savanna,18663931,5417996
NRCS Rangeland Site,Ecological Site Description Database,R108DY863IA,Till Upland Prairie,18663932,5417997
NRCS Rangeland Site,Ecological Site Description Database,R107BY008MO,Loamy Footslope Savanna,18663933,5417998
NRCS Rangeland Site,Ecological Site Description Database,R107BY027IA,Calcareous Till Upland Prairie,18663934,5417999
NRCS Rangeland Site,Ecological Site Description Database,R107BY007MO,Loess Upland Prairie,18664079,5418148
NRCS Rangeland Site,Ecological Site Description Database,R107BY007MO,Loess Upland Prairie,18664080,5418149
NRCS Rangeland Site,Ecological Site Description Database,R107BY007MO,Loess Upland Prairie,18664081,5418150
NRCS Rangeland Site,Ecological Site Description Database,R107BY007MO,Loess Upland Prairie,18664145,5418211
