texcl,lieutex,chtgkey,chtkey
Clay loam,NA,109702204,111599972
Silty clay loam,NA,109702205,111599973
Silt loam,NA,109702206,111599829
Clay loam,NA,109702207,111599548
Clay loam,NA,109702208,111599547
Clay loam,NA,109702209,111599826
Clay,NA,109702210,111599697
Clay loam,NA,109702196,111599103
Loam,NA,109702199,111598951
Clay loam,NA,109702200,111598952
Clay loam,NA,109702213,111599554
Loam,NA,109702214,111599555
Clay loam,NA,109702217,111599552
Loam,NA,109702218,111599975
Clay loam,NA,109702197,111598953
Loam,NA,109702198,111599240
Silty clay,NA,109702201,111599691
Clay,NA,109702202,111599825
Clay loam,NA,109702203,111599692
Clay loam,NA,109702211,111599696
Loam,NA,109702212,111599699
Loam,NA,109702215,111599553
Clay loam,NA,109702216,111599977
Silty clay loam,NA,109703000,111598397
Silt loam,NA,109703001,111598396
Silty clay loam,NA,109703004,111598879
Silt loam,NA,109703005,111598609
Silty clay loam,NA,109703015,111598881
Silty clay loam,NA,109703018,111598398
Silt loam,NA,109703019,111598399
Silty clay loam,NA,109703022,111598612
Silt loam,NA,109703002,111598880
Silty clay loam,NA,109703003,111598395
Silty clay loam,NA,109703006,111598608
Silty clay loam,NA,109703016,111598743
Silt loam,NA,109703017,111598744
Silty clay loam,NA,109703020,111598611
Silt loam,NA,109703021,111598882
Silty clay loam,NA,109703340,111599451
Silt loam,NA,109703341,111599452
Silty clay loam,NA,109703342,111599165
Silt loam,NA,109703343,111599449
Silty clay loam,NA,109703344,111599450
Silty clay loam,NA,109703345,111599305
Silty clay loam,NA,109703346,111599164
Silty clay loam,NA,109703347,111599011
Silt loam,NA,109703348,111599304
Silt loam,NA,109702187,111599827
Silty clay loam,NA,109702188,111599698
Silt loam,NA,109702189,111599693
Silty clay loam,NA,109702190,111599830
Silty clay loam,NA,109702191,111599550
Silt loam,NA,109702192,111599551
Silty clay loam,NA,109702193,111599549
Loam,NA,109702194,111599241
Clay loam,NA,109702195,111599104
Clay loam,NA,109702219,111599695
Loam,NA,109702220,111599974
Clay loam,NA,109702221,111599828
Loam,NA,109702222,111599976
Clay loam,NA,109702223,111599694
Silty clay loam,NA,109703007,111598745
Silty clay loam,NA,109703008,111598400
Silt loam,NA,109703009,111598401
Silty clay loam,NA,109703010,111598746
Silt loam,NA,109703011,111598747
Silty clay loam,NA,109703012,111598613
Silt loam,NA,109703013,111598883
Silty clay loam,NA,109703014,111598610
