musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
Z24E2,"Shelby clay loam, deep loess, 14 to 18 percent slopes, eroded",Consociation,NA,1148,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,,Order 2,38,NA,NA,NA,NA,13719,410471
9B,"Marshall silty clay loam, 2 to 5 percent slopes",Consociation,NA,42628,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,95,NA,NA,NA,NA,13719,410527
9C2,"Marshall silty clay loam, 5 to 9 percent slopes, eroded",Consociation,NA,15876,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,cropland,Order 2,87,NA,NA,NA,NA,13719,410529
