featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Ochric epipedon,0,0,0,10,18,20,10,18,20,18663931,9590246
Argillic horizon,10,18,20,86,115,152,66,97,142,18663931,9590247
Cambic horizon,NA,13,NA,NA,111,NA,NA,98,NA,18664079,9590173
Cambic horizon,13,17,18,81,180,190,68,163,172,18664080,9590172
Mollic epipedon,0,0,0,25,56,56,25,56,56,18664081,9590174
Cambic horizon,25,56,56,114,180,180,58,124,155,18664081,9590175
Mollic epipedon,0,0,0,25,56,56,25,56,56,18664145,9590155
Cambic horizon,25,56,56,114,180,180,58,124,155,18664145,9590156
