geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Side Slope,,,28616421,10678389
NA,Side Slope,,,28616422,10678390
NA,Side Slope,,,28616423,10678416
NA,Base Slope,,,28616424,10678342
NA,Base Slope,,,28616425,10678530
NA,Side Slope,,,28616426,10678417
NA,Side Slope,,,28616625,10678305
NA,Side Slope,,,28616626,10678306
NA,Interfluve,,,28616626,10678307
NA,Side Slope,,,28616627,10678308
NA,Interfluve,,,28616864,10678411
