structgrpname,rvindicator,chkey,chstructgrpkey
massive,Yes,54715802,29919568
weak medium subangular blocky structure,Yes,54715803,29919567
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,54715804,29919611
weak fine subangular blocky structure,Yes,54715805,29919634
massive,Yes,54715806,29919178
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,54715807,29919177
weak very fine subangular blocky structure,Yes,54715808,29919176
weak coarse prismatic structure,Yes,54715809,29919175
moderate fine prismatic structure parting to moderate fine subangular blocky structure,Yes,54715810,29919581
weak fine subangular blocky structure,Yes,54715811,29919580
massive,Yes,54715812,29919610
weak coarse prismatic structure,Yes,54715813,29919633
moderate medium prismatic structure parting to moderate medium subangular blocky structure,Yes,54715814,29919582
"weak coarse prismatic structure parting to weak fine subangular blocky structure, and weak very fine subangular blocky structure",Yes,54715815,29919613
"moderate fine subangular blocky structure, and weak fine subangular blocky structure",Yes,54715816,29919586
moderate fine granular structure,Yes,54715817,29919585
moderate medium subangular blocky structure,Yes,54715818,29919584
weak medium subangular blocky structure,Yes,54715819,29919583
massive,Yes,54715820,29919612
moderate very fine and fine subangular blocky structure,Yes,54715821,29919635
massive,Yes,54716316,29918732
weak medium subangular blocky structure,Yes,54716317,29918868
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,54716318,29918796
weak fine subangular blocky structure,Yes,54716319,29918867
"weak medium subangular blocky structure, and weak medium prismatic structure, and weak fine subangular blocky structure",Yes,54716320,29918733
"weak fine granular structure, and weak fine subangular blocky structure",Yes,54716321,29918798
massive,Yes,54716322,29918734
weak coarse prismatic structure,Yes,54716323,29918870
moderate medium subangular blocky structure,Yes,54716324,29918797
"moderate medium subangular blocky structure, and moderate fine subangular blocky structure",Yes,54716325,29918974
"moderate medium subangular blocky structure, and moderate fine subangular blocky structure",Yes,54716326,29918869
massive,Yes,54716327,29918977
weak coarse prismatic structure,Yes,54716328,29918975
"weak medium subangular blocky structure, and weak medium prismatic structure, and weak fine subangular blocky structure",Yes,54716329,29918976
massive,Yes,54716528,29919461
weak coarse prismatic structure,Yes,54716529,29919460
"weak medium subangular blocky structure, and weak medium prismatic structure, and weak fine subangular blocky structure",Yes,54716530,29919392
"moderate medium subangular blocky structure, and moderate fine subangular blocky structure",Yes,54716531,29919391
moderate medium subangular blocky structure,Yes,54716532,29919312
"moderate medium subangular blocky structure, and moderate fine subangular blocky structure",Yes,54716533,29919311
