shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Convex,28616421,16762251
Convex,Convex,28616422,16762249
Convex,Convex,28616423,16762250
Linear,Concave,28616424,16762076
Linear,Concave,28616425,16762352
Convex,Convex,28616426,16762252
Convex,Convex,28616625,16762039
Convex,Convex,28616626,16762038
Convex,Convex,28616627,16762040
Convex,Convex,28616864,16762230
