areaovacres,lareaovkey,mukey,muareaovkey
1148,424239,410471,25299699
1148,424240,410471,25299698
1148,424241,410471,25299697
1148,424242,410471,25299696
1148,424243,410471,25299695
42628,424239,410527,25299649
42628,424240,410527,25299648
42628,424241,410527,25299647
42628,424242,410527,25299646
42628,424243,410527,25299645
15876,424239,410529,25299604
15876,424240,410529,25299603
15876,424241,410529,25299602
15876,424242,410529,25299601
15876,424243,410529,25299600
