aashtocl,rvindicator,chkey,chaashtokey
A-7,No ,54715802,89401625
A-6,Yes,54715802,89401626
A-7,No ,54715803,89401627
A-6,Yes,54715803,89401628
A-7,No ,54715804,89401629
A-6,Yes,54715804,89401630
A-6,No ,54715805,89401631
A-7-6,Yes,54715805,89401632
A-7-6,Yes,54715806,89401633
A-7-6,Yes,54715807,89401634
A-7-6,Yes,54715808,89401635
A-7-6,Yes,54715809,89401636
A-7-6,Yes,54715810,89401637
A-7-6,Yes,54715811,89401638
A-6,No ,54715812,89401639
A-7-6,Yes,54715812,89401640
A-6,No ,54715813,89401641
A-7-6,Yes,54715813,89401642
A-6,No ,54715814,89401643
A-7-6,Yes,54715814,89401644
A-7-6,Yes,54715815,89401645
A-7-6,Yes,54715816,89401646
A-7-6,Yes,54715817,89401647
A-6,No ,54715818,89401648
A-7-6,Yes,54715818,89401649
A-6,No ,54715819,89401650
A-7-6,Yes,54715819,89401651
A-6,No ,54715820,89401652
A-7-6,Yes,54715820,89401653
A-6,No ,54715821,89401654
A-7-6,Yes,54715821,89401655
A-7,No ,54716316,89402245
A-6,Yes,54716316,89402246
A-6,Yes,54716317,89402247
A-7,No ,54716317,89402248
A-7,No ,54716318,89402249
A-6,Yes,54716318,89402250
A-6,No ,54716319,89402251
A-7-6,Yes,54716319,89402252
A-7-6,Yes,54716320,89402253
A-7-6,Yes,54716321,89402254
A-6,Yes,54716322,89402255
A-6,Yes,54716323,89402256
A-7-6,Yes,54716324,89402257
A-7-6,Yes,54716325,89402258
A-7-6,Yes,54716326,89402259
A-6,Yes,54716327,89402260
A-6,Yes,54716328,89402261
A-7-6,Yes,54716329,89402262
A-6,Yes,54716528,89402496
A-6,Yes,54716529,89402497
A-7-6,Yes,54716530,89402498
A-7-6,Yes,54716531,89402499
A-7-6,Yes,54716532,89402500
A-7-6,Yes,54716533,89402501
