geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,hillslopes,,1,2,Yes,18663930,28616421
Landscape,uplands,,2,NA,Yes,18663930,28616681
Landform,hillslopes,,1,2,Yes,18663931,28616422
Landscape,uplands,,2,NA,Yes,18663931,28616682
Landform,hillslopes,,1,2,Yes,18663932,28616423
Landscape,uplands,,2,NA,Yes,18663932,28616683
Landform,alluvial fans,,1,2,Yes,18663933,28616424
Landform,drainageways,,3,2,No ,18663933,28616425
Landscape,uplands,,2,NA,Yes,18663933,28616684
Landform,hillslopes,,1,2,Yes,18663934,28616426
Landscape,uplands,,2,NA,Yes,18663934,28616685
Landform,hillslopes,,1,2,Yes,18664079,28616625
Landscape,uplands,,2,NA,Yes,18664079,28616887
Landform,hillslopes,,1,2,Yes,18664080,28616626
Landscape,uplands,,2,NA,Yes,18664080,28616888
Landform,hillslopes,,1,2,Yes,18664081,28616627
Landscape,uplands,,2,NA,Yes,18664081,28616889
Landform,interfluves,,1,2,Yes,18664145,28616864
Landscape,uplands,,2,NA,Yes,18664145,28616909
