taxminalogy,cokey,cotaxfmminkey
mixed,18663930,14697521
mixed,18663931,14697519
smectitic,18663932,14697520
mixed,18663933,14697523
mixed,18663934,14697522
mixed,18664079,14697409
mixed,18664080,14697408
mixed,18664081,14697410
mixed,18664145,14697352
