pmgroupname,rvindicator,cokey,copmgrpkey
fine-silty loess,Yes,18663930,13620206
fine-loamy subglacial till,Yes,18663931,13620205
loess and underlying red paleosol developed in subglacial till,Yes,18663932,13619984
loamy local alluvium derived from subglacial till,Yes,18663933,13620131
subglacial till,Yes,18663934,13620130
fine-silty loess,Yes,18664079,13620178
fine-silty loess,Yes,18664080,13620107
fine-silty loess,Yes,18664081,13620179
fine-silty loess,Yes,18664145,13619979
