texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,Yes,Silt loam,54715802,109702187
SICL,No ,No ,Silty clay loam,54715802,109702188
SIL,No ,Yes,Silt loam,54715803,109702189
SICL,No ,No ,Silty clay loam,54715803,109702190
SICL,No ,Yes,Silty clay loam,54715804,109702191
SIL,No ,No ,Silt loam,54715804,109702192
SICL,No ,Yes,Silty clay loam,54715805,109702193
L,No ,No ,Loam,54715806,109702194
CL,No ,Yes,Clay loam,54715806,109702195
CL,No ,Yes,Clay loam,54715807,109702196
CL,No ,Yes,Clay loam,54715808,109702197
L,No ,No ,Loam,54715808,109702198
L,No ,No ,Loam,54715809,109702199
CL,No ,Yes,Clay loam,54715809,109702200
SIC,No ,No ,Silty clay,54715810,109702201
C,No ,Yes,Clay,54715810,109702202
CL,No ,No ,Clay loam,54715810,109702203
CL,No ,Yes,Clay loam,54715811,109702204
SICL,No ,No ,Silty clay loam,54715811,109702205
SIL,No ,No ,Silt loam,54715811,109702206
CL,No ,Yes,Clay loam,54715812,109702207
CL,No ,Yes,Clay loam,54715813,109702208
CL,No ,Yes,Clay loam,54715814,109702209
C,No ,No ,Clay,54715814,109702210
CL,No ,Yes,Clay loam,54715815,109702211
L,No ,No ,Loam,54715815,109702212
CL,No ,Yes,Clay loam,54715816,109702213
L,No ,No ,Loam,54715816,109702214
L,No ,Yes,Loam,54715817,109702215
CL,No ,No ,Clay loam,54715817,109702216
CL,No ,Yes,Clay loam,54715818,109702217
L,No ,No ,Loam,54715818,109702218
CL,No ,Yes,Clay loam,54715819,109702219
L,No ,No ,Loam,54715819,109702220
CL,No ,Yes,Clay loam,54715820,109702221
L,No ,No ,Loam,54715820,109702222
CL,No ,Yes,Clay loam,54715821,109702223
SICL,No ,No ,Silty clay loam,54716316,109703000
SIL,No ,Yes,Silt loam,54716316,109703001
SIL,No ,Yes,Silt loam,54716317,109703002
SICL,No ,No ,Silty clay loam,54716317,109703003
SICL,No ,Yes,Silty clay loam,54716318,109703004
SIL,No ,No ,Silt loam,54716318,109703005
SICL,No ,Yes,Silty clay loam,54716319,109703006
SICL,No ,Yes,Silty clay loam,54716320,109703007
SICL,No ,Yes,Silty clay loam,54716321,109703008
SIL,No ,No ,Silt loam,54716321,109703009
SICL,No ,Yes,Silty clay loam,54716322,109703010
SIL,No ,No ,Silt loam,54716322,109703011
SICL,No ,Yes,Silty clay loam,54716323,109703012
SIL,No ,No ,Silt loam,54716323,109703013
SICL,No ,Yes,Silty clay loam,54716324,109703014
SICL,No ,Yes,Silty clay loam,54716325,109703015
SICL,No ,Yes,Silty clay loam,54716326,109703016
SIL,No ,No ,Silt loam,54716326,109703017
SICL,No ,Yes,Silty clay loam,54716327,109703018
SIL,No ,No ,Silt loam,54716327,109703019
SICL,No ,Yes,Silty clay loam,54716328,109703020
SIL,No ,No ,Silt loam,54716328,109703021
SICL,No ,Yes,Silty clay loam,54716329,109703022
SICL,No ,Yes,Silty clay loam,54716528,109703340
SIL,No ,No ,Silt loam,54716528,109703341
SICL,No ,Yes,Silty clay loam,54716529,109703342
SIL,No ,No ,Silt loam,54716529,109703343
SICL,No ,Yes,Silty clay loam,54716530,109703344
SICL,No ,Yes,Silty clay loam,54716531,109703345
SICL,No ,Yes,Silty clay loam,54716532,109703346
SICL,No ,Yes,Silty clay loam,54716533,109703347
SIL,No ,No ,Silt loam,54716533,109703348
