hillslopeprof,cogeomdkey,cosurfmorhppkey
Backslope,28616421,11907996
Backslope,28616422,11907997
Backslope,28616423,11907942
Footslope,28616424,11908230
Footslope,28616425,11908335
Backslope,28616426,11907943
Backslope,28616625,11908216
Shoulder,28616625,11908217
Backslope,28616626,11908218
Shoulder,28616626,11908219
Backslope,28616627,11908220
Shoulder,28616627,11908221
Summit,28616864,11908020
