pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
1,Fine-silty,,Loess,NA,13619979,19118874
NA,,loess and underlying red paleosol developed in,Subglacial till,NA,13619984,19118879
1,Fine-silty,,Loess,NA,13620107,19119012
NA,,,Subglacial till,NA,13620130,19119036
NA,,loamy local alluvium derived from,Subglacial till,NA,13620131,19119037
1,Fine-silty,,Loess,NA,13620178,19119088
1,Fine-silty,,Loess,NA,13620179,19119089
NA,Fine-loamy,,Subglacial till,NA,13620205,19119118
1,Fine-silty,,Loess,NA,13620206,19119119
