unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,54715802,102499137
CL,Yes,54715803,102499138
CL,Yes,54715804,102499139
CL,Yes,54715805,102499140
CL,Yes,54715806,102499141
CL,Yes,54715807,102499142
CL,Yes,54715808,102499143
CL,Yes,54715809,102499144
CL,Yes,54716316,102499669
CL,Yes,54716317,102499670
CL,Yes,54716318,102499671
CL,Yes,54716319,102499672
CL,Yes,54716320,102499673
CL,Yes,54716321,102499674
CL,Yes,54716322,102499675
CL,Yes,54716323,102499676
CL,Yes,54716324,102499677
CL,Yes,54716325,102499678
CL,Yes,54716326,102499679
CL,Yes,54715815,102499151
CL,Yes,54715816,102499152
CL,Yes,54715817,102499153
CH,Yes,54715810,102499145
CL,No ,54715810,102499146
CL,Yes,54715811,102499147
CL,Yes,54715812,102499148
CL,Yes,54715813,102499149
CL,Yes,54715814,102499150
CL,Yes,54715818,102499154
CL,Yes,54715819,102499155
CL,Yes,54715820,102499156
CL,Yes,54715821,102499157
CL,Yes,54716327,102499680
CL,Yes,54716328,102499681
CL,Yes,54716329,102499682
CL,Yes,54716528,102499902
CL,Yes,54716529,102499903
CL,Yes,54716530,102499904
CL,Yes,54716531,102499905
CL,Yes,54716532,102499906
CL,Yes,54716533,102499907
