hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
C,NA,C,NA,NA,NA,94,NA,NA,203,NA,NA,109,NA,0,0,0,0,0,0,100,100,100,100,100,100,95,100,100,93,98,100,1,3,10,NA,0,NA,NA,0,NA,NA,0.1,NA,NA,0.8,NA,NA,2.1,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,20,25,30,NA,NA,NA,0,0.3,0.5,NA,NA,NA,1.3,1.33,1.35,NA,NA,NA,1.49,1.52,1.58,2.61,1,9,10,0.2,0.21,0.22,NA,NA,NA,22.4,28.8,30.8,10.6,13.7,16.5,46,47,48,2.1,3.2,4.1,31,36,42,13,17,21,11,17,23,0.49,0.49,0,0,0,0,0,0,0,0,0,0,1,2,14.2,19.4,23.3,NA,NA,NA,NA,NA,NA,6.1,7,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663930,54715802
BC,NA,BC,NA,NA,NA,83,NA,NA,94,NA,NA,11,NA,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,99,99,100,1,2,10,NA,0,NA,NA,0,NA,NA,0,NA,NA,0.6,NA,NA,1.4,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,25,25,35,NA,NA,NA,0,0.3,0.5,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.43,1.48,1.54,2.61,1,9,10,0.2,0.21,0.22,NA,NA,NA,27.8,28.5,32.2,13,13.4,18.8,46,48,50,2.9,3.2,5.1,35,36,46,17,17,25,17,17,27,0.49,0.49,0,0,0,0,0,0,0,0,0,0,1,2,17.3,19.4,26.7,NA,NA,NA,NA,NA,NA,5.6,6.6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,8,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663930,54715803
Bw,NA,B,NA,NA,NA,15,NA,NA,83,NA,NA,68,NA,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,96,98,100,1,2,10,NA,0.1,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,0.8,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,25,27,35,NA,NA,NA,0.5,0.9,1,NA,NA,NA,1.25,1.27,1.3,NA,NA,NA,1.43,1.45,1.51,2.6,1,3,10,0.18,0.19,0.2,NA,NA,NA,26.6,29.6,32.3,13.3,14.7,18.9,48,49,50,3.2,3.6,5.2,36,39,47,17,19,25,16,19,28,0.49,0.49,0,0,0,0,0,0,0,0,0,0,1,2,19.7,21.7,27.5,NA,NA,NA,NA,NA,NA,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,9.9,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663930,54715804
Ap,NA,A,NA,NA,NA,0,NA,NA,15,NA,NA,15,NA,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,96,98,100,1,2,10,NA,0.1,NA,NA,0.2,NA,NA,0.3,NA,NA,0.6,NA,NA,0.8,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,28,30,34,NA,NA,NA,2.2,2.8,3.2,NA,NA,NA,1.25,1.33,1.35,NA,NA,NA,1.44,1.52,1.58,2.56,1,3,10,0.21,0.22,0.23,NA,NA,NA,29.5,32.5,33.9,17.5,19.2,21.8,45,46,49,3.9,4.4,5.2,40,46,51,19,21,24,19,23,28,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1,2,23.2,24.9,28,NA,NA,NA,NA,NA,NA,5.6,5.9,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,15.2,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663930,54715805
C,NA,C,NA,NA,86,115,152,200,200,200,48,85,114,0,0,0,0,0,3,95,98,100,86,95,100,77,87,95,59,69,77,29,32,37,1.3,2.2,3.1,2.6,4.2,6.1,3,5.8,8.4,9.2,11,13.2,7.4,8.8,10.5,33,37,42,13,16,19,17,21,24,24,31,36,0,1.2,1.4,0,0.3,0.5,NA,NA,NA,1.48,1.49,1.5,NA,NA,NA,1.69,1.7,1.77,2.61,1,3,10,0.14,0.15,0.16,NA,NA,NA,26.8,31.9,34.7,13.5,19.2,23.2,36,40,41,2.4,4.3,5.7,33,41,47,16,22,26,7,13,20,0.32,0.32,0,10,20,0,0,0,0,0,0,0,1,2,16.7,22.7,26.5,NA,NA,NA,15.4,24.2,65.5,6.6,7.8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663931,54715806
Bt,NA,B,NA,NA,10,18,20,57,93,104,58,75,75,0,0,0,0,0,3,95,98,100,86,95,100,77,88,97,61,70,79,22,30,35,1,1.8,2.8,2.4,3.4,4.5,3.2,6.7,8.9,6.7,10.8,13.7,5.1,7.3,9.3,30,36,45,12,16,23,16,20,22,32,34,39,0,0,0,0.4,1.1,2.1,NA,NA,NA,1.34,1.46,1.54,NA,NA,NA,1.59,1.71,1.79,2.58,1,3,10,0.15,0.16,0.17,NA,NA,NA,29.7,33.2,36.4,18.1,21.6,26.5,35,40,46,4.4,5.3,6.8,42,46,53,23,25,28,11,16,23,0.28,0.28,0,0,0,0,0,0,0,0,0,0,1,2,24.5,26.9,31.2,NA,NA,NA,17.2,24.6,30.7,5.1,6.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,7.9,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663931,54715807
Ap,NA,A,NA,NA,0,0,0,10,18,20,10,18,20,0,0,0,0,0,3,91,98,100,85,96,100,77,89,96,58,69,75,29,33,38,1,1.7,3.3,2.7,3.6,5.3,5.7,7.7,10,9.1,12.3,15.8,6.3,7.7,9.4,33,37,43,17,19,25,16,18,20,26,30,34,0,0,0,1.9,2.9,4.1,NA,NA,NA,1.33,1.38,1.42,NA,NA,NA,1.53,1.58,1.64,2.56,1,3,10,0.17,0.18,0.19,NA,NA,NA,28.2,32.7,35.4,15.7,20.4,24.6,38,43,46,3.3,4.6,5.7,40,46,53,18,21,24,8,14,19,0.28,0.28,0,0,0,0,0,0,0,0,0,0,1,2,21.6,24.9,28.3,NA,NA,NA,13.3,22.3,28.1,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,8.4,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663931,54715808
Btk,NA,B,NA,NA,57,93,104,86,115,152,22,22,48,0,0,0,0,0,3,95,98,100,86,95,100,77,88,95,61,71,78,23,30,35,1,2.2,2.9,2.3,4,5.1,4.9,5.4,5.6,8,10.3,12,5.9,8.1,9.4,34,39,46,14,17,23,20,22,23,26,31,32,1.1,1.2,1.4,0,0.4,0.5,NA,NA,NA,1.46,1.47,1.52,NA,NA,NA,1.66,1.67,1.69,2.61,1,3,10,0.14,0.15,0.16,NA,NA,NA,27.4,31.8,33.2,14.5,19.1,20.4,36,40,42,2.7,4.3,4.7,35,41,43,17,21,22,8,14,17,0.32,0.32,4,10,20,0,0,0,0,0,0,0,1,2,17.3,22.9,23.7,NA,NA,NA,24.4,50.2,62.7,7.4,7.7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663931,54715809
2Bt1,2,B,NA,1,NA,18,NA,NA,43,NA,NA,25,NA,0,0,0,0,0,0,95,96,100,76,85,100,61,78,100,51,67,89,15,25,35,NA,3.4,NA,NA,4,NA,NA,4.6,NA,NA,7,NA,NA,6,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,38,49,60,NA,NA,NA,0.5,0.75,1,NA,NA,NA,1.25,1.33,1.4,NA,NA,NA,1.6,1.68,1.88,2.57,0.01,0.04,0.1,0.09,0.1,0.11,NA,NA,NA,25.8,36.9,42.2,17.9,24.6,32.8,38,43,50,5.6,8.6,12.7,49,60,72,27,36,44,10,23,44,0.24,0.24,0,0,0,0,0,0,0,0,0,0,1,2,28.1,35.5,42.7,NA,NA,NA,NA,NA,NA,5.1,5.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,10.3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663932,54715810
Ap,NA,A,NA,NA,NA,0,NA,NA,18,NA,NA,18,NA,0,0,0,0,0,0,100,100,100,100,100,100,86,94,100,73,81,89,15,22.5,30,NA,2,NA,NA,2.8,NA,NA,3.9,NA,NA,7.1,NA,NA,6.7,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,24,32,40,NA,NA,NA,2.2,2.7,3.2,NA,NA,NA,1.45,1.5,1.55,NA,NA,NA,1.64,1.71,1.74,2.56,1,3,10,0.17,0.18,0.19,NA,NA,NA,31.8,34.9,37.6,18.1,23.7,29.2,37,42,42,2.9,4.6,7.5,39,47,55,16,22,28,10,18,28,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1,2,19.9,25.7,31.3,NA,NA,NA,NA,NA,NA,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,8.4,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,18663932,54715811
