rot,Date,day,depth_cm,value,dul_mm,year,site
cc,1999-01-01,1,7 cm depth,0.345,0.317,1999,deka
cc,1999-01-01,1,22 cm depth,0.356,0.317,1999,deka
cc,1999-01-01,1,45 cm depth,0.368,0.32,1999,deka
cc,1999-01-01,1,75 cm depth,0.394,0.317,1999,deka
cc,1999-01-01,1,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-02,2,7 cm depth,0.345,0.317,1999,deka
cc,1999-01-02,2,22 cm depth,0.356,0.317,1999,deka
cc,1999-01-02,2,45 cm depth,0.368,0.32,1999,deka
cc,1999-01-02,2,75 cm depth,0.394,0.317,1999,deka
cc,1999-01-02,2,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-03,3,7 cm depth,0.357,0.317,1999,deka
cc,1999-01-03,3,22 cm depth,0.361,0.317,1999,deka
cc,1999-01-03,3,45 cm depth,0.369,0.32,1999,deka
cc,1999-01-03,3,75 cm depth,0.395,0.317,1999,deka
cc,1999-01-03,3,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-04,4,7 cm depth,0.358,0.317,1999,deka
cc,1999-01-04,4,22 cm depth,0.363,0.317,1999,deka
cc,1999-01-04,4,45 cm depth,0.372,0.32,1999,deka
cc,1999-01-04,4,75 cm depth,0.397,0.317,1999,deka
cc,1999-01-04,4,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-05,5,7 cm depth,0.354,0.317,1999,deka
cc,1999-01-05,5,22 cm depth,0.363,0.317,1999,deka
cc,1999-01-05,5,45 cm depth,0.374,0.32,1999,deka
cc,1999-01-05,5,75 cm depth,0.398,0.317,1999,deka
cc,1999-01-05,5,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-06,6,7 cm depth,0.352,0.317,1999,deka
cc,1999-01-06,6,22 cm depth,0.362,0.317,1999,deka
cc,1999-01-06,6,45 cm depth,0.374,0.32,1999,deka
cc,1999-01-06,6,75 cm depth,0.399,0.317,1999,deka
cc,1999-01-06,6,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-07,7,7 cm depth,0.35,0.317,1999,deka
cc,1999-01-07,7,22 cm depth,0.361,0.317,1999,deka
cc,1999-01-07,7,45 cm depth,0.375,0.32,1999,deka
cc,1999-01-07,7,75 cm depth,0.4,0.317,1999,deka
cc,1999-01-07,7,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-08,8,7 cm depth,0.35,0.317,1999,deka
cc,1999-01-08,8,22 cm depth,0.361,0.317,1999,deka
cc,1999-01-08,8,45 cm depth,0.375,0.32,1999,deka
cc,1999-01-08,8,75 cm depth,0.401,0.317,1999,deka
cc,1999-01-08,8,105 cm depth,0.323,0.311,1999,deka
cc,1999-01-09,9,7 cm depth,0.35,0.317,1999,deka
