site,iacsr_maj,iacsr_wgt,bhz_maj,bhz_wt,om_maj,om_wgt,cropprodindex_maj,cropprodindex_wgt
ames,88,88.98490909268732,29,28.099999999999998,3,10.5,NA,NA
kana,84,86.1548903163253,32,35.405,6,33,93,95.58586837959035
craw,83,82.37857349119261,38.333333333333336,37.24166666666667,3.1666666666666665,9.833333333333332,NA,NA
lewi,95,91.77388855361093,37,37,3,3,NA,NA
mcna,72,74.38966953291188,31,29.950000000000003,3.3,10.8,NA,NA
nash,91,90.55300837776085,30.5,30.724999999999998,4.25,9.416666666666668,100,98.65902513328257
suth,100,96.80066811379574,31.5,31.625,5.1,15.35,NA,NA
