site,bhz_maj,bhz_wt,om_maj,om_wgt,cropprodindex_maj,cropprodindex_wgt
deka,53,52.02,5.5,5.494,NA,NA
monm,44,NA,4.5,NA,NA,NA
urba,36,35.76,5.5,5.506,NA,NA
orrc,15,NA,2,NA,NA,NA
brow,20,NA,1.75,NA,NA,NA
dixu,8,8,1,1,NA,NA
dixb,5,5,0.75,0.75,NA,NA
