set_id,outfile,site,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing
0,monm_CC_252.out,monm,1998-12-31,1998,261.58,261.58,0,7.9,7.9,1818.002,126,194,249,4.985,731.328,345.001,1.771,1.998,1.712,3687.655,376.1,4.2,0.308,0.299
0,monm_CC_252.out,monm,1999-12-31,1999,251.808,251.808,0,8.6,8.6,1802.999,134,202,258,4.835,731.879,395.518,1.561,2,1.841,3665.035,2812,17.8,0.29,0.323
0,monm_CC_252.out,monm,2000-12-31,2000,274.548,274.548,0,8.8,8.8,1881.202,125,198,0,5.31,633.352,338.694,1.814,1.998,1.92,3700,3246,23.1,0.304,0.282
0,monm_CC_252.out,monm,2001-12-31,2001,292.192,292.192,0,8.6,8.6,1858.067,120,194,251,5.656,705.164,366.488,1.711,1.996,1.787,3584.042,3113.2,23.7,0.286,0.33
0,monm_CC_252.out,monm,2002-12-31,2002,285.809,285.809,0,8.6,8.6,1846.922,125,199,256,5.198,725.04,378.86,1.71,1.997,1.869,3667.398,2794.5,18.1,0.263,0.295
0,monm_CC_252.out,monm,2003-12-31,2003,230.512,230.512,0,8.6,8.6,1820.806,139,208,266,4.059,709.395,393.134,1.562,2,1.974,3700,2119.8,15.8,0.308,0.343
0,monm_CC_252.out,monm,2004-12-31,2004,269.964,269.964,0,8.6,8.6,1842.531,131,198,263,4.656,703.555,371.11,1.743,2,1.94,3700,2098.2,17.7,0.312,0.305
0,monm_CC_252.out,monm,2005-12-31,2005,161.548,161.548,0,8.5,8.5,1796.789,128,212,270,2.444,686.802,356.553,1.574,2,1.896,3700,2731.6,26.1,0.285,0.306
0,monm_CC_252.out,monm,2006-12-31,2006,215.925,215.925,0,8.6,8.6,1797.395,122,196,252,3.941,670.806,361.523,1.594,2,1.796,3697.568,3207.4,39.1,0.317,0.262
0,monm_CC_252.out,monm,2007-12-31,2007,266.346,266.346,0,8.6,8.6,1826.61,126,191,245,4.991,740.863,409.927,1.745,2,1.879,3700,2164.6,24.9,0.312,0.297
0,monm_CC_252.out,monm,2008-12-31,2008,286.958,286.958,0,9.1,9.1,1848.501,128,202,267,5.872,753.596,432.372,1.8,1.999,1.875,3700,2488.3,24.5,0.355,0.303
0,monm_CS_252.out,monm,1998-12-31,1998,63.57,0,63.57,0,0,1914.993,132.000,184,252,6.406,684.375,286.953,0.945,2,1,3658.993,2765.9,26.6,0.3,0.32
0,monm_CS_252.out,monm,1999-12-31,1999,190.137,190.137,0,8.6,8.6,1752.789,134.000,209,0,4.372,807.814,388.645,1.454,2,1.969,3700,335.9,2.7,0.292,0.287
0,monm_CS_252.out,monm,2000-12-31,2000,64.919,0,64.919,0,0,1964.105,134.000,187,259,6.1,638.193,262.732,0.951,2,1,3700,3372.5,35.8,0.294,0.288
0,monm_CS_252.out,monm,2001-12-31,2001,271.297,271.297,0,8.6,8.6,1844.797,120.000,196,254,5.571,810.083,375.668,1.651,1.999,1.887,3700,476,4.7,0.285,0.306
0,monm_CS_252.out,monm,2002-12-31,2002,57.564,0,57.564,0,0,1908.255,120.000,187,258,4.56,673.313,235.304,0.975,2,1,3667.171,2957.3,25.4,0.238,0.296
