musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
507,"Canisteo clay loam, 0 to 2 percent slopes",NA,1,0.9,NA,0,0,None,None,15,4.63,9.26,18.13,27.18,Poorly drained,Poorly drained,C/D,NA,100,2,85,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,100,1,406559
55,"Nicollet clay loam, 1 to 3 percent slopes",NA,2,1.9,NA,45,45,None,None,5,4.58,9.07,17.77,26.8,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.526,Slight,10,0.975,2834843
