geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,rims,,1,2,Yes,17598782,26679318
Landform,depressions,,2,3,Yes,17598782,26679319
Landscape,till plains,,3,NA,Yes,17598782,26679320
Landform,depressions,,1,2,Yes,17598783,26679321
Landscape,till plains,,2,NA,Yes,17598783,26679322
Landform,depressions,,1,2,Yes,17598860,26679323
Landscape,till plains,,2,NA,Yes,17598860,26679324
Landform,ground moraines,,3,4,Yes,17598861,26679325
Landscape,till plains,,4,NA,Yes,17598861,26679326
Landform,depressions,,2,4,No ,17598861,26679327
Landform,rims,,1,2,No ,17598861,26679328
Landform,ground moraines,,1,2,Yes,17598862,26679329
Landscape,till plains,,2,NA,Yes,17598862,26679330
Landform,ground moraines,,1,2,Yes,17598830,26679164
Landscape,till plains,,2,NA,Yes,17598830,26679165
Landform,ground moraines,,1,2,Yes,17598831,26679166
Landscape,till plains,,2,NA,Yes,17598831,26679167
Landform,ground moraines,,1,2,Yes,17598832,26679168
Landscape,till plains,,2,NA,Yes,17598832,26679169
Landform,depressions,,1,2,Yes,17598833,26679170
Landscape,till plains,,3,NA,Yes,17598833,26679171
