structgrpname,rvindicator,chkey,chstructgrpkey
massive,Yes,51411209,27463989
weak fine granular structure,No ,51411210,27463990
weak fine subangular blocky structure,No ,51411210,27463991
weak medium subangular blocky structure,Yes,51411210,27463992
weak fine subangular blocky structure,Yes,51411211,27464068
weak fine subangular blocky structure,No ,51411212,27464066
weak medium subangular blocky structure,Yes,51411212,27464067
massive,Yes,51411213,27463423
weak medium subangular blocky structure,Yes,51411214,27463421
weak fine subangular blocky structure,No ,51411214,27463422
weak fine subangular blocky structure,Yes,51411215,27463831
weak medium subangular blocky structure,No ,51411215,27463832
weak medium subangular blocky structure,No ,51411216,27463513
weak fine subangular blocky structure,Yes,51411216,27463514
massive,Yes,51411399,27464047
weak fine subangular blocky structure,Yes,51411400,27463612
moderate fine subangular blocky structure,No ,51411400,27463613
weak medium subangular blocky structure,No ,51411400,27463614
weak fine subangular blocky structure,Yes,51411401,27463615
weak fine subangular blocky structure,Yes,51411402,27464127
moderate fine subangular blocky structure,No ,51411402,27464128
weak medium subangular blocky structure,No ,51411402,27464129
massive,Yes,51411403,27463579
weak fine subangular blocky structure,Yes,51411404,27464000
weak medium subangular blocky structure,No ,51411404,27464001
weak fine subangular blocky structure,No ,51411404,27464002
weak fine subangular blocky structure,Yes,51411405,27463999
weak fine subangular blocky structure,Yes,51411406,27464079
weak medium subangular blocky structure,No ,51411406,27464080
weak fine granular structure,No ,51411406,27464081
massive,Yes,51411407,27463752
weak fine subangular blocky structure,Yes,51411408,27464006
weak fine subangular blocky structure,Yes,51411409,27464003
weak very fine granular structure,No ,51411409,27464004
weak fine granular structure,No ,51411409,27464005
weak medium subangular blocky structure,No ,51411410,27464082
weak fine subangular blocky structure,Yes,51411410,27464083
weak fine subangular blocky structure,Yes,51411411,27463725
cloddy,No ,51411411,27464134
massive,Yes,51411412,27464447
weak fine subangular blocky structure,Yes,51411413,27464137
weak fine prismatic structure,No ,51411413,27464138
weak very fine subangular blocky structure,Yes,51411414,27464135
weak fine subangular blocky structure,No ,51411414,27464136
weak fine subangular blocky structure,Yes,51411521,27464539
cloddy,No ,51411521,27464540
massive,Yes,51411522,27464211
weak fine subangular blocky structure,Yes,51411523,27464209
weak fine prismatic structure,No ,51411523,27464210
weak very fine subangular blocky structure,Yes,51411524,27463970
weak fine subangular blocky structure,No ,51411524,27464208
weak medium subangular blocky structure,Yes,51411525,27463573
weak medium granular structure,No ,51411525,27463574
weak fine subangular blocky structure,Yes,51411526,27463575
moderate medium subangular blocky structure,Yes,51411527,27463576
moderate medium subangular blocky structure,Yes,51411528,27463577
massive,Yes,51411529,27464069
massive,Yes,51411530,27463797
weak fine subangular blocky structure,Yes,51411531,27464043
moderate fine subangular blocky structure,No ,51411531,27464044
weak medium subangular blocky structure,No ,51411531,27464045
weak fine subangular blocky structure,Yes,51411532,27464126
weak fine subangular blocky structure,Yes,51411533,27464123
moderate fine subangular blocky structure,No ,51411533,27464124
weak medium subangular blocky structure,No ,51411533,27464125
