shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Concave,Concave,26679164,15497237
Linear,Convex,26679166,15497176
Linear,Linear,26679166,15497177
Linear,Convex,26679168,15497238
Concave,Concave,26679170,15497240
Linear,Concave,26679318,15497069
Concave,Concave,26679321,15497104
Concave,Concave,26679323,15497170
Linear,Linear,26679325,15497196
Linear,Concave,26679328,15497197
Linear,Linear,26679329,15497090
