musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
507,"Canisteo clay loam, 0 to 2 percent slopes",Consociation,NA,65730,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,84,NA,NA,NA,NA,13678,406559
55,"Nicollet clay loam, 1 to 3 percent slopes",Consociation,NA,49784,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,89,NA,NA,NA,NA,13678,2834843
