texcl,lieutex,chtgkey,chtkey
Clay loam,,102716954,104479701
Loam,,102716955,104479702
Clay loam,,102716956,104479135
Silty clay loam,,102716957,104479700
Clay loam,,102716958,104478718
Silty clay loam,,102716959,104478856
Clay loam,,102716960,104479134
Silty clay loam,,102716961,104478857
Clay loam,,102716949,104478740
Clay loam,,102716952,104479709
Loam,,102716953,104479710
Clay loam,,102716946,104479711
Loam,,102716947,104478872
Sandy loam,,102716948,104479147
Silty clay loam,,102716950,104479148
Clay loam,,102716951,104478873
Loam,,102717417,104481000
Sandy loam,,102717418,104480480
Clay loam,,102717419,104481001
Clay loam,,102717420,104480805
Loam,,102717421,104480806
Silty clay loam,,102717452,104479252
Clay loam,,102717453,104480113
Silty clay,,102717454,104479407
Silty clay loam,,102717455,104479250
Silty clay,,102717456,104479251
Clay loam,,102717422,104481002
Silty clay loam,,102717423,104480481
Loam,,102717426,104479621
Sandy loam,,102717427,104480571
Clay loam,,102717428,104480643
Sandy clay loam,,102717442,104479860
Sandy loam,,102717443,104480572
Clay loam,,102717444,104479622
Loam,,102717445,104480573
Silty clay loam,,102717448,104480114
Clay loam,,102717449,104479408
Silt loam,,102717450,104478989
Loam,,102717451,104478990
Silty clay,,102717773,104480773
Silty clay loam,,102717774,104480774
Clay loam,,102717786,104478743
Loam,,102717787,104478744
Silt loam,,102717788,104478874
Silty clay loam,,102717789,104479149
Silt loam,,102717794,104479151
Silty clay loam,,102717795,104478876
Clay loam,,102717796,104479714
Loam,,102717797,104479715
Sandy loam,,102717798,104479152
Clay loam,,102717424,104480803
Silty clay loam,,102717425,104480804
Clay loam,,102717429,104479914
Loam,,102717430,104480577
Loam,,102717440,104479858
Clay loam,,102717441,104479859
Silty clay,,102717446,104480112
Silty clay loam,,102717447,104479249
Loam,,102717790,104479150
Silt loam,,102717791,104479712
Silty clay loam,,102717792,104479713
Clay loam,,102717793,104478875
Sandy loam,,102717799,104478877
Clay loam,,102717800,104478745
Loam,,102717801,104478746
Clay loam,,102717431,104480650
Loam,,102717432,104480651
Clay loam,,102717433,104480652
Loam,,102717434,104480653
Loam,,102717435,104480647
Sandy loam,,102717436,104480648
Clay loam,,102717437,104480649
Clay loam,,102717438,104479623
Loam,,102717439,104480646
Loam,,102717802,104480798
Sandy loam,,102717803,104480799
Clay loam,,102717804,104480996
Clay loam,,102717805,104480477
Loam,,102717806,104480967
Clay loam,,102717807,104480968
Silty clay loam,,102717808,104480969
Clay loam,,102717809,104480476
Silty clay loam,,102717810,104480997
Silty clay loam,,102717775,104480045
Clay loam,,102717776,104480785
Silt loam,,102717777,104480786
Loam,,102717778,104480787
Silty clay loam,,102717779,104480948
Clay loam,,102717780,104480044
Silty clay,,102717781,104480949
Silty clay loam,,102717782,104480775
Silty clay,,102717783,104480956
Clay loam,,102717784,104478741
Silty clay loam,,102717785,104478742
