desgnsuffix,chkey,chdesgnsfxkey
g,51411209,20297328
k,51411210,20297329
p,51411211,20297205
k,51411212,20297203
g,51411212,20297204
g,51411213,20297558
g,51411214,20297557
p,51411215,20297288
g,51411399,20297366
g,51411400,20297105
p,51411401,20297106
g,51411404,20297451
g,51411404,20297452
p,51411405,20297450
p,51411408,20297453
w,51411410,20297306
p,51411411,20297097
g,51411412,20297354
g,51411413,20297098
p,51411521,20297234
g,51411522,20297495
g,51411523,20297494
p,51411525,20297071
k,51411528,20297072
g,51411528,20297073
g,51411529,20297206
g,51411530,20297508
g,51411531,20297364
p,51411532,20297240
