texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
CL,No ,No ,Clay loam,51411209,102716946
L,No ,Yes,Loam,51411209,102716947
SL,No ,No ,Sandy loam,51411209,102716948
CL,No ,Yes,Clay loam,51411210,102716949
SICL,No ,No ,Silty clay loam,51411211,102716950
CL,No ,Yes,Clay loam,51411211,102716951
CL,No ,No ,Clay loam,51411212,102716952
L,No ,Yes,Loam,51411212,102716953
CL,No ,Yes,Clay loam,51411213,102716954
L,No ,No ,Loam,51411213,102716955
CL,No ,Yes,Clay loam,51411214,102716956
SICL,No ,No ,Silty clay loam,51411214,102716957
CL,No ,Yes,Clay loam,51411215,102716958
SICL,No ,No ,Silty clay loam,51411215,102716959
CL,No ,Yes,Clay loam,51411216,102716960
SICL,No ,No ,Silty clay loam,51411216,102716961
L,No ,Yes,Loam,51411399,102717417
SL,No ,No ,Sandy loam,51411399,102717418
CL,No ,No ,Clay loam,51411399,102717419
CL,No ,Yes,Clay loam,51411400,102717420
L,No ,No ,Loam,51411400,102717421
CL,No ,Yes,Clay loam,51411401,102717422
SICL,No ,No ,Silty clay loam,51411401,102717423
CL,No ,Yes,Clay loam,51411402,102717424
SICL,No ,No ,Silty clay loam,51411402,102717425
L,No ,Yes,Loam,51411403,102717426
SL,No ,No ,Sandy loam,51411403,102717427
CL,No ,No ,Clay loam,51411403,102717428
CL,No ,Yes,Clay loam,51411404,102717429
L,No ,No ,Loam,51411404,102717430
CL,No ,Yes,Clay loam,51411405,102717431
L,No ,No ,Loam,51411405,102717432
CL,No ,Yes,Clay loam,51411406,102717433
L,No ,No ,Loam,51411406,102717434
L,No ,Yes,Loam,51411407,102717435
SL,No ,No ,Sandy loam,51411407,102717436
CL,No ,No ,Clay loam,51411407,102717437
CL,No ,No ,Clay loam,51411408,102717438
L,No ,Yes,Loam,51411408,102717439
L,No ,Yes,Loam,51411409,102717440
CL,No ,No ,Clay loam,51411409,102717441
SCL,No ,No ,Sandy clay loam,51411410,102717442
SL,No ,No ,Sandy loam,51411410,102717443
CL,No ,No ,Clay loam,51411410,102717444
L,No ,Yes,Loam,51411410,102717445
SIC,No ,No ,Silty clay,51411411,102717446
SICL,No ,Yes,Silty clay loam,51411411,102717447
SICL,No ,Yes,Silty clay loam,51411412,102717448
CL,No ,No ,Clay loam,51411412,102717449
SIL,No ,No ,Silt loam,51411412,102717450
L,No ,No ,Loam,51411412,102717451
SICL,No ,Yes,Silty clay loam,51411413,102717452
CL,No ,No ,Clay loam,51411413,102717453
SIC,No ,No ,Silty clay,51411413,102717454
SICL,No ,Yes,Silty clay loam,51411414,102717455
SIC,No ,No ,Silty clay,51411414,102717456
SIC,No ,No ,Silty clay,51411521,102717773
SICL,No ,Yes,Silty clay loam,51411521,102717774
SICL,No ,Yes,Silty clay loam,51411522,102717775
CL,No ,No ,Clay loam,51411522,102717776
SIL,No ,No ,Silt loam,51411522,102717777
L,No ,No ,Loam,51411522,102717778
SICL,No ,Yes,Silty clay loam,51411523,102717779
CL,No ,No ,Clay loam,51411523,102717780
SIC,No ,No ,Silty clay,51411523,102717781
SICL,No ,Yes,Silty clay loam,51411524,102717782
SIC,No ,No ,Silty clay,51411524,102717783
CL,No ,Yes,Clay loam,51411525,102717784
SICL,No ,No ,Silty clay loam,51411525,102717785
CL,No ,Yes,Clay loam,51411526,102717786
L,No ,No ,Loam,51411526,102717787
SIL,No ,No ,Silt loam,51411526,102717788
SICL,No ,No ,Silty clay loam,51411526,102717789
L,No ,No ,Loam,51411527,102717790
SIL,No ,No ,Silt loam,51411527,102717791
SICL,No ,No ,Silty clay loam,51411527,102717792
CL,No ,Yes,Clay loam,51411527,102717793
SIL,No ,No ,Silt loam,51411528,102717794
SICL,No ,No ,Silty clay loam,51411528,102717795
CL,No ,Yes,Clay loam,51411528,102717796
L,No ,No ,Loam,51411528,102717797
SL,No ,No ,Sandy loam,51411528,102717798
SL,No ,No ,Sandy loam,51411529,102717799
CL,No ,No ,Clay loam,51411529,102717800
L,No ,Yes,Loam,51411529,102717801
L,No ,Yes,Loam,51411530,102717802
SL,No ,No ,Sandy loam,51411530,102717803
CL,No ,No ,Clay loam,51411530,102717804
CL,No ,Yes,Clay loam,51411531,102717805
L,No ,No ,Loam,51411531,102717806
CL,No ,Yes,Clay loam,51411532,102717807
SICL,No ,No ,Silty clay loam,51411532,102717808
CL,No ,Yes,Clay loam,51411533,102717809
SICL,No ,No ,Silty clay loam,51411533,102717810
