taxmoistcl,cokey,cotaxmckey
Aquic,17598782,6633639
Aquic,17598783,6633646
Aquic,17598830,6633595
Udic,17598831,6633594
Udic,17598832,6633596
Aquic,17598833,6633598
Aquic,17598860,6633634
Aquic,17598861,6633632
Aquic,17598862,6633635
