soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
60,80,100,200,200,200,Wet,184628367,114740885
0,0,0,60,80,100,Moist,184628367,114740886
60,80,90,200,200,200,Wet,184628368,114740887
0,0,0,60,80,90,Moist,184628368,114740888
0,0,20,200,200,200,Wet,184628369,114740889
0,0,0,0,0,20,Moist,184628369,114740890
40,60,90,200,200,200,Wet,184628370,114740891
0,0,0,40,60,90,Moist,184628370,114740892
0,0,0,15,20,50,Moist,184628371,114740893
15,20,50,200,200,200,Wet,184628371,114740894
50,70,100,200,200,200,Wet,184628372,114740895
0,0,0,50,70,100,Moist,184628372,114740896
30,40,60,200,200,200,Wet,184628373,114740897
0,0,0,30,40,60,Moist,184628373,114740898
0,0,0,70,100,120,Moist,184628374,114740899
70,100,120,200,200,200,Wet,184628374,114740900
0,0,0,15,25,30,Moist,184628375,114740901
15,25,30,200,200,200,Wet,184628375,114740902
0,0,0,60,90,110,Moist,184628376,114740903
60,90,110,200,200,200,Wet,184628376,114740904
0,0,0,30,40,60,Moist,184628377,114740905
30,40,60,200,200,200,Wet,184628377,114740906
0,0,0,40,70,100,Moist,184628378,114740907
40,70,100,200,200,200,Wet,184628378,114740908
0,0,0,40,50,60,Moist,184628379,114740909
40,50,60,200,200,200,Wet,184628379,114740910
40,60,90,200,200,200,Wet,184628380,114740911
0,0,0,40,60,90,Moist,184628380,114740912
20,30,40,200,200,200,Wet,184628381,114740913
0,0,0,20,30,40,Moist,184628381,114740914
0,0,0,30,40,60,Moist,184628382,114740915
30,40,60,200,200,200,Wet,184628382,114740916
0,0,0,30,40,50,Moist,184628383,114740917
30,40,50,200,200,200,Wet,184628383,114740918
20,30,60,200,200,200,Wet,184628384,114740919
0,0,0,20,30,60,Moist,184628384,114740920
0,0,0,30,40,50,Moist,184628385,114740921
30,40,50,200,200,200,Wet,184628385,114740922
10,15,30,200,200,200,Wet,184628386,114740923
0,0,0,10,15,30,Moist,184628386,114740924
5,10,30,200,200,200,Wet,184628387,114740925
0,0,0,5,10,30,Moist,184628387,114740926
0,0,0,0,0,15,Moist,184628388,114740927
0,0,15,200,200,200,Wet,184628388,114740928
0,0,0,5,10,15,Moist,184628389,114740929
5,10,15,200,200,200,Wet,184628389,114740930
15,20,30,200,200,200,Wet,184628390,114740931
0,0,0,15,20,30,Moist,184628390,114740932
0,0,20,200,200,200,Wet,184628943,114742025
0,0,0,0,0,20,Moist,184628943,114742026
30,40,60,200,200,200,Wet,184628944,114742027
0,0,0,30,40,60,Moist,184628944,114742028
0,0,0,40,60,90,Moist,184628945,114742029
40,60,90,200,200,200,Wet,184628945,114742030
15,20,50,200,200,200,Wet,184628946,114742031
0,0,0,15,20,50,Moist,184628946,114742032
60,90,110,200,200,200,Wet,184628947,114742033
0,0,0,60,90,110,Moist,184628947,114742034
0,0,0,50,70,100,Moist,184628948,114742035
50,70,100,200,200,200,Wet,184628948,114742036
0,0,0,40,70,100,Moist,184628949,114742037
40,70,100,200,200,200,Wet,184628949,114742038
70,100,120,200,200,200,Wet,184628950,114742039
0,0,0,70,100,120,Moist,184628950,114742040
0,0,0,60,80,90,Moist,184628951,114742041
60,80,90,200,200,200,Wet,184628951,114742042
30,40,60,200,200,200,Wet,184628952,114742043
0,0,0,30,40,60,Moist,184628952,114742044
0,0,0,15,25,30,Moist,184628953,114742045
15,25,30,200,200,200,Wet,184628953,114742046
0,0,0,60,80,100,Moist,184628954,114742047
60,80,100,200,200,200,Wet,184628954,114742048
0,0,0,100,115,130,Moist,184628955,114742049
100,115,130,200,200,200,Wet,184628955,114742050
0,0,0,120,140,180,Moist,184628956,114742051
120,140,180,200,200,200,Wet,184628956,114742052
0,0,0,50,70,90,Moist,184628957,114742053
50,70,90,200,200,200,Wet,184628957,114742054
0,0,0,30,45,60,Moist,184628958,114742055
30,45,60,200,200,200,Wet,184628958,114742056
0,0,0,50,60,70,Moist,184628959,114742057
50,60,70,200,200,200,Wet,184628959,114742058
0,0,0,60,70,80,Moist,184628960,114742059
60,70,80,200,200,200,Wet,184628960,114742060
0,0,0,90,110,130,Moist,184628961,114742061
90,110,130,200,200,200,Wet,184628961,114742062
0,0,0,110,140,180,Moist,184628962,114742063
110,140,180,200,200,200,Wet,184628962,114742064
0,0,0,130,160,180,Moist,184628963,114742065
130,160,180,200,200,200,Wet,184628963,114742066
80,100,140,200,200,200,Wet,184628964,114742067
0,0,0,80,100,140,Moist,184628964,114742068
0,0,0,60,80,100,Moist,184628965,114742069
60,80,100,200,200,200,Wet,184628965,114742070
0,0,0,70,80,120,Moist,184628966,114742071
70,80,120,200,200,200,Wet,184628966,114742072
0,0,0,150,170,190,Moist,184628967,114742073
150,170,190,200,200,200,Wet,184628967,114742074
0,0,0,120,160,190,Moist,184628968,114742075
120,160,190,200,200,200,Wet,184628968,114742076
0,0,0,90,120,150,Moist,184628969,114742077
90,120,150,200,200,200,Wet,184628969,114742078
0,0,0,55,120,140,Moist,184628970,114742079
55,120,140,200,200,200,Wet,184628970,114742080
180,190,200,200,200,200,Wet,184628971,114742081
0,0,0,180,190,200,Moist,184628971,114742082
100,140,160,200,200,200,Wet,184628972,114742083
0,0,0,100,140,160,Moist,184628972,114742084
0,0,0,120,160,180,Moist,184628973,114742085
120,160,180,200,200,200,Wet,184628973,114742086
0,0,0,170,195,200,Moist,184628974,114742087
170,195,200,200,200,200,Wet,184628974,114742088
120,160,190,200,200,200,Wet,184628975,114742089
0,0,0,120,160,190,Moist,184628975,114742090
50,90,120,200,200,200,Wet,184628976,114742091
0,0,0,50,90,120,Moist,184628976,114742092
0,0,0,120,150,190,Moist,184628977,114742093
120,150,190,200,200,200,Wet,184628977,114742094
0,0,0,70,130,150,Moist,184628978,114742095
70,130,150,200,200,200,Wet,184628978,114742096
10,15,30,200,200,200,Wet,184628979,114742097
0,0,0,10,15,30,Moist,184628979,114742098
0,0,0,30,40,50,Moist,184628980,114742099
30,40,50,200,200,200,Wet,184628980,114742100
20,30,60,200,200,200,Wet,184628981,114742101
0,0,0,20,30,60,Moist,184628981,114742102
30,40,50,200,200,200,Wet,184628982,114742103
0,0,0,30,40,50,Moist,184628982,114742104
0,0,0,30,40,60,Moist,184628983,114742105
30,40,60,200,200,200,Wet,184628983,114742106
20,30,40,200,200,200,Wet,184628984,114742107
0,0,0,20,30,40,Moist,184628984,114742108
