fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411209,88050467
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411209,88050468
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411209,88050469
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411209,88050470
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411209,88050471
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411210,88050472
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411210,88050473
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411210,88050474
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411210,88050475
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411210,88050476
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411211,88050477
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411211,88050478
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411211,88050479
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411211,88050480
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411211,88050481
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411212,88050482
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411212,88050483
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411212,88050484
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411212,88050485
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411212,88050486
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411213,88050487
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411213,88050488
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411213,88050489
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411213,88050490
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411213,88050491
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411214,88050492
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411214,88050493
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411214,88050494
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411214,88050495
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411214,88050496
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411215,88050497
0,0,1,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411215,88050498
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411215,88050499
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411215,88050500
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51411215,88050501
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51411216,88050502
0,0,1,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51411216,88050503
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51411216,88050504
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51411216,88050505
