aashtocl,rvindicator,chkey,chaashtokey
A-7-6,No ,51411209,84068684
A-4,No ,51411209,84068685
A-6,Yes,51411209,84068686
A-7-6,Yes,51411210,84068687
A-7-6,No ,51411211,84068688
A-7-5,Yes,51411211,84068689
A-7-6,No ,51411212,84068690
A-6,Yes,51411212,84068691
A-6,Yes,51411213,84068692
A-7-6,No ,51411213,84068693
A-7-6,Yes,51411214,84068694
A-6,No ,51411214,84068695
A-7-5,Yes,51411215,84068696
A-7-6,No ,51411215,84068697
A-7-5,Yes,51411216,84068698
A-7-6,No ,51411216,84068699
A-6,No ,51411216,84068700
A-7-6,No ,51411399,84069033
A-4,No ,51411399,84069034
A-6,Yes,51411399,84069035
A-6,No ,51411400,84069036
A-7-6,Yes,51411400,84069037
A-7-5,Yes,51411401,84069038
A-7-6,No ,51411401,84069039
A-7-6,Yes,51411402,84069040
A-7-6,No ,51411403,84069041
A-4,No ,51411403,84069042
A-6,Yes,51411403,84069043
A-6,No ,51411404,84069044
A-7-6,Yes,51411404,84069045
A-7-6,No ,51411405,84069046
A-7-5,Yes,51411405,84069047
A-6,No ,51411406,84069048
A-7-5,No ,51411406,84069049
A-7-6,Yes,51411406,84069050
A-7-6,No ,51411407,84069051
A-4,No ,51411407,84069052
A-6,Yes,51411407,84069053
A-7-5,No ,51411408,84069054
A-6,No ,51411408,84069055
A-7-6,Yes,51411408,84069056
A-7-6,No ,51411409,84069057
A-6,Yes,51411409,84069058
A-7-6,No ,51411410,84069059
A-6,Yes,51411410,84069060
A-7-5,Yes,51411411,84069061
A-7-6,No ,51411411,84069062
A-6,No ,51411412,84069063
A-7-6,Yes,51411412,84069064
A-7-6,Yes,51411413,84069065
A-6,No ,51411413,84069066
A-7-5,Yes,51411414,84069067
A-7-6,No ,51411414,84069068
A-7-5,Yes,51411521,84069289
A-7-6,No ,51411521,84069290
A-6,No ,51411522,84069291
A-7-6,Yes,51411522,84069292
A-7-6,Yes,51411523,84069293
A-6,No ,51411523,84069294
A-7-5,Yes,51411524,84069295
A-7-6,No ,51411524,84069296
A-7-5,Yes,51411525,84069297
A-7-6,No ,51411525,84069298
A-7-5,Yes,51411526,84069299
A-6,No ,51411526,84069300
A-7-6,Yes,51411527,84069301
A-6,No ,51411527,84069302
A-6,Yes,51411528,84069303
A-4,No ,51411528,84069304
A-7-6,No ,51411528,84069305
A-6,Yes,51411529,84069306
A-4,No ,51411529,84069307
A-7-6,No ,51411529,84069308
A-7-6,No ,51411530,84069309
A-4,No ,51411530,84069310
A-6,Yes,51411530,84069311
A-6,No ,51411531,84069312
A-7-6,Yes,51411531,84069313
A-7-5,Yes,51411532,84069314
A-7-6,No ,51411532,84069315
A-7-6,Yes,51411533,84069316
