plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
FRPE,Fraxinus pennsylvanica,green ash,17598860,30331973
POPUL,Populus,cottonwood,17598860,30331974
QUMA2,Quercus macrocarpa,bur oak,17598860,30331975
QUBI,Quercus bicolor,swamp white oak,17598860,30331976
QUPA2,Quercus palustris,pin oak,17598860,30331977
ACSA2,Acer saccharinum,silver maple,17598860,30331978
CARYA,Carya,hickory,17598860,30331979
PLOC,Platanus occidentalis,American sycamore,17598860,30331980
CEOC,Celtis occidentalis,common hackberry,17598860,30331981
BENI,Betula nigra,river birch,17598860,30331982
SALIX,Salix,willow,17598860,30331983
POPUL,Populus,cottonwood,17598830,30331885
FRPE,Fraxinus pennsylvanica,green ash,17598830,30331886
QUMA2,Quercus macrocarpa,bur oak,17598830,30331887
QUPA2,Quercus palustris,pin oak,17598830,30331888
QUBI,Quercus bicolor,swamp white oak,17598830,30331889
CARYA,Carya,hickory,17598830,30331890
PLOC,Platanus occidentalis,American sycamore,17598830,30331891
ACSA2,Acer saccharinum,silver maple,17598830,30331892
CEOC,Celtis occidentalis,common hackberry,17598830,30331893
BENI,Betula nigra,river birch,17598830,30331894
SALIX,Salix,willow,17598830,30331895
CEOC,Celtis occidentalis,common hackberry,17598833,30331896
BENI,Betula nigra,river birch,17598833,30331897
SALIX,Salix,willow,17598833,30331898
PLOC,Platanus occidentalis,American sycamore,17598833,30331899
CARYA,Carya,hickory,17598833,30331900
ACSA2,Acer saccharinum,silver maple,17598833,30331901
QUMA2,Quercus macrocarpa,bur oak,17598833,30331902
QUPA2,Quercus palustris,pin oak,17598833,30331903
QUBI,Quercus bicolor,swamp white oak,17598833,30331904
POPUL,Populus,cottonwood,17598833,30331905
FRPE,Fraxinus pennsylvanica,green ash,17598833,30331906
