structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Medium,Subangular blocky,NA,NA,27463421,33583082
Weak,Fine,Subangular blocky,NA,NA,27463422,33583083
,,Massive,NA,NA,27463423,33583084
Weak,Medium,Subangular blocky,NA,NA,27463513,33583181
Weak,Fine,Subangular blocky,NA,NA,27463514,33583182
Weak,Medium,Subangular blocky,NA,NA,27463573,33583245
Weak,Medium,Granular,NA,NA,27463574,33583246
Weak,Fine,Subangular blocky,NA,NA,27463575,33583247
Moderate,Medium,Subangular blocky,NA,NA,27463576,33583248
Moderate,Medium,Subangular blocky,NA,NA,27463577,33583249
,,Massive,NA,NA,27463579,33583251
Weak,Fine,Subangular blocky,NA,NA,27463612,33583284
Moderate,Fine,Subangular blocky,NA,NA,27463613,33583285
Weak,Medium,Subangular blocky,NA,NA,27463614,33583286
Weak,Fine,Subangular blocky,NA,NA,27463615,33583287
Weak,Fine,Subangular blocky,NA,NA,27463725,33583399
,,Massive,NA,NA,27463752,33583427
,,Massive,NA,NA,27463797,33583472
Weak,Fine,Subangular blocky,NA,NA,27463831,33583509
Weak,Medium,Subangular blocky,NA,NA,27463832,33583510
Weak,Very fine,Subangular blocky,NA,NA,27463970,33583652
,,Massive,NA,NA,27463989,33583671
Weak,Fine,Granular,NA,NA,27463990,33583672
Weak,Fine,Subangular blocky,NA,NA,27463991,33583673
Weak,Medium,Subangular blocky,NA,NA,27463992,33583674
Weak,Fine,Subangular blocky,NA,NA,27463999,33583681
Weak,Fine,Subangular blocky,NA,NA,27464000,33583682
Weak,Medium,Subangular blocky,NA,NA,27464001,33583683
Weak,Fine,Subangular blocky,NA,NA,27464002,33583684
Weak,Fine,Subangular blocky,NA,NA,27464003,33583685
Weak,Very fine,Granular,NA,NA,27464004,33583686
Weak,Fine,Granular,NA,NA,27464005,33583687
Weak,Fine,Subangular blocky,NA,NA,27464006,33583688
Weak,Fine,Subangular blocky,NA,NA,27464043,33583725
Moderate,Fine,Subangular blocky,NA,NA,27464044,33583726
Weak,Medium,Subangular blocky,NA,NA,27464045,33583727
,,Massive,NA,NA,27464047,33583729
Weak,Fine,Subangular blocky,NA,NA,27464066,33583749
Weak,Medium,Subangular blocky,NA,NA,27464067,33583750
Weak,Fine,Subangular blocky,NA,NA,27464068,33583751
,,Massive,NA,NA,27464069,33583752
Weak,Fine,Subangular blocky,NA,NA,27464079,33583762
Weak,Medium,Subangular blocky,NA,NA,27464080,33583763
Weak,Fine,Granular,NA,NA,27464081,33583764
Weak,Medium,Subangular blocky,NA,NA,27464082,33583765
Weak,Fine,Subangular blocky,NA,NA,27464083,33583766
Weak,Fine,Subangular blocky,NA,NA,27464123,33583807
Moderate,Fine,Subangular blocky,NA,NA,27464124,33583808
Weak,Medium,Subangular blocky,NA,NA,27464125,33583809
Weak,Fine,Subangular blocky,NA,NA,27464126,33583810
Weak,Fine,Subangular blocky,NA,NA,27464127,33583811
Moderate,Fine,Subangular blocky,NA,NA,27464128,33583812
Weak,Medium,Subangular blocky,NA,NA,27464129,33583813
,,Cloddy,NA,NA,27464134,33583818
Weak,Very fine,Subangular blocky,NA,NA,27464135,33583819
Weak,Fine,Subangular blocky,NA,NA,27464136,33583820
Weak,Fine,Subangular blocky,NA,NA,27464137,33583821
Weak,Fine,Prismatic,NA,NA,27464138,33583822
Weak,Fine,Subangular blocky,NA,NA,27464208,33583894
Weak,Fine,Subangular blocky,NA,NA,27464209,33583895
Weak,Fine,Prismatic,NA,NA,27464210,33583896
,,Massive,NA,NA,27464211,33583897
,,Massive,NA,NA,27464447,33584138
Weak,Fine,Subangular blocky,NA,NA,27464539,33584239
,,Cloddy,NA,NA,27464540,33584240
