pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Fine-loamy,,Till,NA,12725121,17843082
NA,Fine-loamy,,Till,NA,12725122,17843079
NA,Fine-loamy,,Till,NA,12725123,17843080
NA,Fine-loamy,,Till,NA,12725125,17843290
1,,local,Alluvium,NA,12725126,17843287
2,,,Till,NA,12725126,17843288
NA,,,Glaciolacustrine deposits,NA,12725127,17843289
NA,Fine-loamy,,Till,NA,12725179,17843178
NA,Fine-loamy,,Till,NA,12725181,17843215
1,,local,Alluvium,NA,12725182,17843212
2,,,Till,NA,12725182,17843213
NA,,,Glaciolacustrine deposits,NA,12725183,17843214
NA,Fine-loamy,,Till,NA,12725184,17843180
NA,Fine-loamy,,Till,NA,12725190,17843183
NA,,local,Alluvium,NA,12725197,17843274
1,,local,Alluvium,NA,12725198,17843272
2,,,Till,NA,12725198,17843273
