featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,30,41,60,30,41,60,17598782,8544492
Calcic horizon,30,41,60,90,160,190,60,119,130,17598782,8544493
Free carbonates,0,0,18,200,200,200,182,200,200,17598782,8544494
Mollic epipedon,0,0,0,60,99,200,60,99,200,17598783,8544510
Cambic horizon,60,99,200,75,127,200,0,28,140,17598783,8544511
Free carbonates,75,127,200,200,200,200,0,73,125,17598783,8544512
Free carbonates,40,91,112,200,200,200,88,109,160,17598831,8544694
Mollic epipedon,0,0,0,25,43,61,25,43,61,17598831,8544695
Cambic horizon,25,43,61,40,91,112,15,48,51,17598831,8544696
Mollic epipedon,0,0,0,12,40,51,12,40,51,17598832,8544697
Cambic horizon,12,40,51,45,86,146,15,46,134,17598832,8544698
Free carbonates,45,86,146,200,200,200,54,114,155,17598832,8544699
Mollic epipedon,0,0,0,60,84,150,60,84,150,17598860,8544477
Cambic horizon,60,84,150,60,97,200,0,13,75,17598860,8544478
Free carbonates,50,97,150,200,200,200,50,103,150,17598860,8544479
Cambic horizon,46,51,60,74,91,102,30,40,60,17598861,8544473
Mollic epipedon,0,0,0,46,51,60,46,51,60,17598861,8544474
Mollic epipedon,0,0,0,35,51,61,35,51,61,17598862,8544480
Cambic horizon,35,51,61,61,107,107,18,56,66,17598862,8544481
Free carbonates,61,107,127,200,200,200,73,93,139,17598862,8544482
