hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Bg,NA,B,,NA,60,84,150,60,97,200,NA,13,NA,0,0,0,0,0,0,100,100,100,98,100,100,91,98,100,81,89,94,5,15,25,0,0,2,0,1,3,1,2,5,2,5,12,5,7,10,45,49,60,11,17,21,28,32,40,30,36,41,0,0,1,0.5,1.5,2.5,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.63,1.68,1.74,2.57,0.42,0.92,14.11,0.11,0.19,0.2,NA,NA,NA,31,34,36.1,17.2,22,25.9,35,43,45,3.8,6.3,7.6,40,49,56,21,26,29,17,25,32,0.37,0.37,0,0,10,0,0,0,0,0,0,0,0,2,23,27.9,31,NA,NA,NA,21.9,26.6,70,6.6,7.1,7.8,6,7.1,7.4,NA,NA,NA,NA,NA,NA,1.3,4.1,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,51411523
A,NA,A,,NA,13,20,30,60,84,150,NA,64,NA,0,0,0,0,0,0,100,100,100,98,100,100,92,99,100,84,91,96,5,12,19,0,0,1,0,0,2,1,2,4,2,4,6,4,6,10,45,52,60,15,18,25,28,34,40,30,36,41,0,0,0,2,6,8,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.48,1.53,1.63,2.51,0.42,0.92,14.11,0.11,0.22,0.23,NA,NA,NA,31.3,35.8,38,17.7,25.4,30,43,46,48,3.1,5.5,7.8,43,58,68,21,26,29,18,27,36,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,24,29.2,32.9,NA,NA,NA,21.8,28.5,32.7,6.6,7,7.3,6.5,6.8,7.3,NA,NA,NA,NA,NA,NA,3.3,6.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,51411524
Ap,NA,A,,NA,0,0,0,18,23,25,NA,23,NA,0,1,4,0,1,2,85,98,100,66,90,98,61,87,97,48,68,77,18,30,36,0,0,2,2,2,4,6,6,8,10,12,14,8,10,16,33,38,49,13,15,18,20,23,26,28,32,35,1,3,5,4,7,10,NA,NA,NA,0.95,1.05,1.3,NA,NA,NA,1.04,1.14,1.39,2.51,1.41,2.82,14.11,0.17,0.18,0.23,NA,NA,NA,24.5,31.5,35,12.9,19.4,24.2,34,50,55,1.9,2.6,3.2,44,54,64,17,20,23,5,14,23,0.28,0.28,5,13,15,0,0,0,0,0,0,0,0,2,23,25,26.2,NA,NA,NA,56.3,63.7,65.2,7.4,7.5,7.8,6.9,7.4,7.7,NA,NA,NA,NA,NA,NA,2.5,4.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,51411525
A,NA,A,,NA,18,23,25,36,41,45,NA,18,NA,0,0,3,0,0,1,87,98,100,72,92,98,64,89,97,48,68,75,16,32,42,0,0,2,2,2,3,5,7,9,12,13,17,8,10,11,33,36,52,13,14,17,18,22,25,25,32,35,1,2,5,2,5,6,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.49,1.54,1.56,2.54,1.41,2.82,14.11,0.17,0.18,0.24,NA,NA,NA,25.1,33.6,36.1,13.5,23,26.5,32,42,45,2.5,4.2,4.8,37,51,57,15,21,24,4,14,21,0.24,0.24,5,10,15,0,0,0,0,0,0,0,0,2,20.1,25.5,25.6,NA,NA,NA,53.4,64.2,64.6,7.4,7.7,7.8,6.9,7.6,7.8,NA,NA,NA,NA,NA,NA,1.5,3.4,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,51411526
AB,NA,AB,,NA,36,41,45,46,51,60,NA,10,NA,0,0,3,0,0,1,87,98,100,72,92,98,64,89,97,48,68,75,16,32,42,0,0,2,2,2,3,5,7,9,12,13,17,8,10,11,33,36,52,13,14,17,18,22,25,25,32,35,1,2,5,1,3,5,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.48,1.53,1.56,2.57,1.41,2.82,14.11,0.17,0.18,0.24,NA,NA,NA,24.4,32.4,35.6,12.5,20.7,25.3,33,43,46,2.4,4.1,4.8,35,47,54,15,21,24,4,13,20,0.28,0.28,5,10,15,0,0,0,0,0,0,0,0,2,19.6,25,25.5,NA,NA,NA,52.9,63.7,64.5,7.4,7.7,7.8,6.9,7.6,7.8,NA,NA,NA,NA,NA,NA,1.1,2.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,51411527
Bkg,NA,B,,NA,46,51,60,74,91,102,NA,40,NA,0,0,3,0,0,1,88,98,100,73,93,98,60,86,98,42,62,74,16,39,55,0,1,4,2,4,5,6,8,11,12,15,20,8,11,13,27,34,55,11,12,16,19,22,29,17,27,35,3,6,10,0.5,1.5,3,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.46,1.51,1.71,2.61,1.41,2.82,42.34,0.12,0.17,0.24,NA,NA,NA,21.5,30.4,34.8,8.7,17.1,23.9,30,42,45,0.8,2.5,4,25,38,49,6,15,23,0,7,17,0.32,0.32,15,17,25,0,0,0,0,0,0,0,0,2,11.7,17.6,21.2,NA,NA,NA,50.4,56.3,60.2,7.4,8,8.4,7.2,7.7,8,NA,NA,NA,NA,NA,NA,0,0.5,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,51411528
Cg,NA,C,,NA,74,91,102,200,200,200,NA,109,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,85,98,43,58,72,25,44,55,0,2,4,2,5,6,4,10,15,9,17,21,5,10,16,29,35,50,13,15,19,17,20,30,16,21,33,1,2,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.6,1.7,1.81,2.63,1.41,9.17,42.34,0.11,0.18,0.19,NA,NA,NA,21.1,27.6,33.5,8.3,13.2,21.5,27,36,40,1.1,2,4.1,25,31,43,8,13,23,0,4,15,0.32,0.32,12,15,20,0,0,0,0,0,0,0,0,2,10.9,15,21.9,NA,NA,NA,49.6,53.7,60.9,7.9,8,8.4,7.4,7.5,7.9,NA,NA,NA,NA,NA,NA,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,51411529
Cg,NA,C,,NA,61,107,127,200,200,200,NA,93,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,85,98,43,58,72,25,44,55,0,2,4,2,5,6,4,10,15,9,17,21,5,10,16,29,35,50,13,15,19,17,20,30,16,21,33,1,2,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.6,1.7,1.81,2.63,1.41,9.17,42.34,0.11,0.18,0.19,NA,NA,NA,21.1,27.6,33.5,8.3,13.2,21.5,27,36,40,1.1,2,4.1,25,31,43,8,13,23,0,4,15,0.32,0.32,12,15,20,0,0,0,0,0,0,0,0,2,10.9,15,21.9,NA,NA,NA,49.6,53.7,60.9,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,51411530
Bg,NA,B,,NA,35,51,61,61,107,127,NA,56,NA,0,0,3,0,0,1,88,98,100,73,93,98,63,86,97,47,65,75,25,35,44,0,2,4,2,4,5,4,6,9,7,13,18,5,10,12,30,37,45,13,16,19,18,21,30,22,28,34,0,0,0,0.5,1.5,3,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.52,1.57,1.63,2.59,0.42,2.82,14.11,0.15,0.17,0.19,NA,NA,NA,23.4,30.7,34.5,11.1,17.6,23.3,30,42,45,2.4,3.7,5.1,33,41,50,15,19,24,3,10,18,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,17.6,22.8,27.9,NA,NA,NA,15.1,22.7,35.9,5.6,7.3,7.8,6.8,7.2,7.5,NA,NA,NA,NA,NA,NA,0.7,3,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,51411531
Ap,NA,A,,NA,0,0,0,13,25,30,NA,25,NA,0,1,4,0,1,2,85,98,100,66,90,98,61,87,98,50,71,83,16,25,33,0,0,2,1,3,4,4,5,8,7,10,15,5,7,10,36,42,50,13,17,22,21,25,30,29,33,39,0,0,0,4,7,10,NA,NA,NA,0.95,1.05,1.3,NA,NA,NA,1.05,1.15,1.4,2.5,0.42,2.82,14.11,0.15,0.18,0.23,NA,NA,NA,24.8,31.8,35.8,13.3,19.8,25.8,35,51,57,2.2,3,4.3,46,56,68,20,23,27,6,17,27,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,24.5,28.1,33.1,NA,NA,NA,21.4,27.1,33.1,5.6,6.5,7.3,5.9,6.5,7.5,NA,NA,NA,NA,NA,NA,4.1,7.7,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,51411532
A,NA,A,,NA,13,25,30,35,51,61,NA,26,NA,0,0,3,0,0,1,87,98,100,72,92,98,66,88,98,54,73,81,14,25,36,0,0,2,1,3,4,4,5,8,7,10,15,5,7,10,35,42,50,13,17,22,21,25,30,29,33,37,0,0,0,2,5,6,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.51,1.56,1.62,2.53,0.42,2.82,14.11,0.15,0.18,0.23,NA,NA,NA,26.2,33.9,36.6,15.3,23.5,27.5,33,42,46,3.7,4.8,5.9,43,53,59,20,24,26,7,17,24,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,23.8,27.7,31,NA,NA,NA,20.6,27.4,30.9,6.1,6.9,7.3,6.3,6.7,7.1,NA,NA,NA,NA,NA,NA,3.3,5.9,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,51411533
Cg,NA,C,,NA,61,107,127,200,200,200,NA,93,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,85,98,43,58,72,25,44,55,0,2,4,2,5,6,4,10,15,9,17,21,5,10,16,29,35,50,13,15,19,17,20,30,16,21,33,1,2,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.6,1.7,1.81,2.63,1.41,9.17,42.34,0.11,0.18,0.19,NA,NA,NA,21.1,27.6,33.5,8.3,13.2,21.5,27,36,40,1.1,2,4.1,25,31,43,8,13,23,0,4,15,0.32,0.32,12,15,20,0,0,0,0,0,0,0,0,2,10.9,15,21.9,NA,NA,NA,49.6,53.7,60.9,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,51411399
Bg,NA,B,,NA,35,51,61,61,107,127,NA,56,NA,0,0,3,0,0,1,88,98,100,73,93,98,63,86,97,47,65,75,25,35,44,0,2,4,2,4,5,4,6,9,7,13,18,5,10,12,30,37,45,13,16,19,18,21,30,22,28,34,0,0,0,0.5,1.5,3,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.52,1.57,1.63,2.59,0.42,2.82,14.11,0.15,0.17,0.19,NA,NA,NA,23.4,30.7,34.5,11.1,17.6,23.3,30,42,45,2.4,3.7,5.1,33,41,50,15,19,24,3,10,18,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,17.6,22.8,27.9,NA,NA,NA,15.1,22.7,35.9,5.6,7.3,7.8,6.8,7.2,7.5,NA,NA,NA,NA,NA,NA,0.7,3,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,51411400
