geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Dip,26679164,9797251
NA,,,Rise,26679166,9797389
NA,,,Talf,26679166,9797390
NA,,,Rise,26679168,9797252
NA,,,Talf,26679325,9797157
NA,,,Talf,26679329,9797279
