taxminalogy,cokey,cotaxfmminkey
mixed,17598782,13846870
mixed,17598783,13846877
mixed,17598830,13846941
mixed,17598831,13846940
mixed,17598832,13846942
smectitic,17598833,13846944
smectitic,17598860,13846865
mixed,17598861,13846863
mixed,17598862,13846866
