unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51411209,96474103
CL,No ,51411210,96474104
MH,Yes,51411210,96474105
CL,No ,51411211,96474106
MH,Yes,51411211,96474107
CL,Yes,51411212,96474108
SC,No ,51411213,96474109
CL,Yes,51411213,96474110
CH,No ,51411214,96474111
CL,Yes,51411214,96474112
OH,No ,51411215,96474113
CL,No ,51411215,96474114
OL,No ,51411215,96474115
ML,No ,51411215,96474116
MH,Yes,51411215,96474117
OH,No ,51411216,96474118
CL,No ,51411216,96474119
OL,No ,51411216,96474120
MH,Yes,51411216,96474121
CL,Yes,51411399,96474428
CL,Yes,51411400,96474429
CL,No ,51411401,96474430
MH,Yes,51411401,96474431
CL,No ,51411402,96474432
MH,Yes,51411402,96474433
CL,Yes,51411403,96474434
CL,Yes,51411404,96474435
CL,No ,51411405,96474436
MH,Yes,51411405,96474437
ML,Yes,51411406,96474438
CL,Yes,51411407,96474439
SC,No ,51411408,96474440
ML,Yes,51411408,96474441
CL,No ,51411408,96474442
ML,No ,51411409,96474443
CL,Yes,51411409,96474444
CL,Yes,51411410,96474445
OH,No ,51411411,96474446
CL,No ,51411411,96474447
OL,No ,51411411,96474448
MH,Yes,51411411,96474449
CL,Yes,51411412,96474450
CL,Yes,51411413,96474451
OH,No ,51411414,96474452
CL,No ,51411414,96474453
OL,No ,51411414,96474454
MH,Yes,51411414,96474455
OH,No ,51411521,96474677
CL,No ,51411521,96474678
OL,No ,51411521,96474679
MH,Yes,51411521,96474680
CL,Yes,51411522,96474681
CL,Yes,51411523,96474682
OH,No ,51411524,96474683
CL,No ,51411524,96474684
OL,No ,51411524,96474685
MH,Yes,51411524,96474686
MH,Yes,51411525,96474687
ML,No ,51411525,96474688
MH,Yes,51411526,96474689
CL,Yes,51411527,96474690
CL,Yes,51411528,96474691
CL,Yes,51411529,96474692
CL,Yes,51411530,96474693
CL,Yes,51411531,96474694
CL,No ,51411532,96474695
MH,Yes,51411532,96474696
CL,No ,51411533,96474697
MH,Yes,51411533,96474698
