ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R103XY009MN,Calcareous Rim Prairies,17598782,5284408
Forage Suitability Groups,,G103XS009MN,"Level Swale, Calcareous",17598782,5284638
NRCS Rangeland Site,Ecological Site Description Database,R103XY015MN,Depressional Marsh,17598783,5284409
Forage Suitability Groups,,G103XS013MN,Ponded If Not Drained,17598783,5284639
NRCS Rangeland Site,Ecological Site Description Database,R103XY001MN,Loamy Wet Prairies,17598830,5284456
Forage Suitability Groups,,G103XS001MN,"Level Swale, Neutral",17598830,5284673
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17598831,5284457
Forage Suitability Groups,,G103XS002MN,"Sloping Upland, Neutral",17598831,5284674
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17598832,5284458
Forage Suitability Groups,,G103XS003MN,"Level Swale, Low AWC, Neutral",17598832,5284675
NRCS Rangeland Site,Ecological Site Description Database,R103XY015MN,Depressional Marsh,17598833,5284459
Forage Suitability Groups,,G103XS013MN,Ponded If Not Drained,17598833,5284676
NRCS Rangeland Site,Ecological Site Description Database,R103XY015MN,Depressional Marsh,17598860,5284486
Forage Suitability Groups,,G103XS013MN,Ponded If Not Drained,17598860,5284693
NRCS Rangeland Site,Ecological Site Description Database,R103XY001MN,Loamy Wet Prairies,17598861,5284487
Forage Suitability Groups,,G103XS009MN,"Level Swale, Calcareous",17598861,5284694
NRCS Rangeland Site,Ecological Site Description Database,R103XY001MN,Loamy Wet Prairies,17598862,5284488
Forage Suitability Groups,,G103XS001MN,"Level Swale, Neutral",17598862,5284695
