taxfamother,cokey,cotaxfokey
not used,17598782,12281022
not used,17598783,12281029
not used,17598830,12280896
not used,17598831,12280895
not used,17598832,12280897
not used,17598833,12280899
not used,17598860,12281017
not used,17598861,12281015
not used,17598862,12281018
