site,nrate_kgha
ames,"0,68,135,203,270"
brow,"0,51,101,152,203,253"
craw,"0,45,90,135,180,225,270"
deka,"0,51,101,152,203,253"
dslo,"0,51,101,152,203,253"
dsup,"0,51,101,152,203,253"
kana,"0,45,90,135,180,225,270"
lewi,"0,45,90,135,180,225,270"
mcna,"0,45,90,135,180,225,270"
monm,"0,51,101,152,203,253"
nash,"0,45,90,135,180,225,270"
orrc,"0,51,101,152,203,253"
suth,"0,45,90,135,180,225,270"
urba,"0,51,101,152,203,253"
