musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
279,"Taintor silty clay loam, 0 to 2 percent slopes",Consociation,NA,9851,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,83,NA,NA,NA,NA,13697,408753
779,"Kalona silty clay loam, 0 to 1 percent slopes",Consociation,NA,538,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,,71,NA,NA,NA,NA,13697,408820
