geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Talf,26626131,9766156
NA,,,Talf,26626132,9766157
NA,Interfluve,,,26626254,9766637
NA,Interfluve,,,26626256,9766638
NA,Interfluve,,,26626258,9766639
