desgnsuffix,chkey,chdesgnsfxkey
t,51304231,20247999
t,51304233,20248000
g,51304233,20248001
g,51304234,20247878
t,51304237,20247631
g,51304237,20247632
p,51304238,20247633
t,51304239,20247874
g,51304239,20247875
t,51304240,20247997
g,51304240,20247998
t,51304241,20247876
g,51304241,20247877
t,51304243,20247755
g,51304243,20247756
g,51304244,20247757
p,51304245,20247873
