geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,interfluves,,1,2,Yes,17568390,26626256
Landscape,till plains,dissected,2,NA,Yes,17568390,26626257
Landform,interfluves,,1,2,Yes,17568391,26626254
Landscape,till plains,dissected,2,NA,Yes,17568391,26626255
Landform,depressions,,1,2,Yes,17568392,26626258
Landscape,till plains,dissected,2,NA,Yes,17568392,26626259
Landform,flats,,1,2,Yes,17568371,26626131
Landscape,uplands,,2,NA,Yes,17568371,26626132
