ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,17568390,5289819
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,17568391,5289820
NRCS Rangeland Site,Ecological Site Description Database,R108CY515IA,Ponded Upland Depression Sedge Meadow,17568392,5289821
