unifiedcl,rvindicator,chkey,chunifiedkey
MH,Yes,51304163,96306632
CL,Yes,51304164,96306633
CH,Yes,51304165,96306634
CH,Yes,51304231,96306723
CL,No ,51304231,96306724
CH,No ,51304232,96306725
MH,No ,51304232,96306726
CL,Yes,51304232,96306727
CL,Yes,51304233,96306728
CH,No ,51304233,96306729
CL,Yes,51304234,96306730
CL,Yes,51304235,96306731
CH,No ,51304236,96306732
CL,Yes,51304236,96306733
CH,Yes,51304237,96306734
CL,No ,51304237,96306735
MH,No ,51304238,96306736
CL,Yes,51304238,96306737
CL,Yes,51304239,96306738
CL,Yes,51304240,96306739
CH,Yes,51304241,96306740
CL,No ,51304242,96306741
CH,Yes,51304242,96306742
CH,Yes,51304243,96306743
CL,Yes,51304244,96306744
CH,No ,51304245,96306745
CL,Yes,51304245,96306746
CL,No ,51304246,96306747
CH,Yes,51304246,96306748
CL,Yes,51304247,96306749
CL,Yes,51304248,96306750
CH,Yes,51304249,96306751
CH,Yes,51304250,96306752
CL,Yes,51304251,96306753
CL,Yes,51304252,96306754
