aashtocl,rvindicator,chkey,chaashtokey
A-7,Yes,51304163,83893955
A-7,Yes,51304164,83893956
A-7,Yes,51304165,83893957
A-7-6,Yes,51304231,83894056
A-7-6,Yes,51304232,83894057
A-7-6,Yes,51304233,83894058
A-6,No ,51304234,83894059
A-7-6,Yes,51304234,83894060
A-7-6,Yes,51304235,83894061
A-6,No ,51304235,83894062
A-7-6,Yes,51304236,83894063
A-6,No ,51304236,83894064
A-7-6,Yes,51304237,83894065
A-7-6,Yes,51304238,83894066
A-7-6,Yes,51304239,83894067
A-7-6,Yes,51304240,83894068
A-7-6,Yes,51304241,83894069
A-7-6,Yes,51304242,83894070
A-7-6,Yes,51304243,83894071
A-6,Yes,51304244,83894072
A-7-6,Yes,51304245,83894073
A-7-6,Yes,51304246,83894074
A-6,Yes,51304247,83894075
A-6,Yes,51304248,83894076
A-7,Yes,51304249,83894077
A-7,Yes,51304250,83894078
A-7,Yes,51304251,83894079
A-6,Yes,51304252,83894080
