structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Moderate,Medium,Granular,2,NA,27372077,33471149
Weak,Fine,Subangular blocky,1,2,27372077,33471150
Moderate,Fine,Granular,NA,NA,27372399,33471602
Moderate,Fine,Subangular blocky,1,NA,27372400,33471603
Moderate,Medium,Subangular blocky,2,NA,27372400,33471604
Moderate,Very fine,Subangular blocky,1,NA,27372401,33471605
Moderate,Fine,Subangular blocky,2,NA,27372401,33471606
Moderate,Medium,Granular,NA,NA,27372402,33471607
Moderate,Medium,Subangular blocky,NA,NA,27372403,33471608
Moderate,Fine,Subangular blocky,1,2,27372404,33471609
Moderate,Fine,Granular,2,NA,27372404,33471610
Weak,Extremely coarse,Prismatic,NA,NA,27372405,33471611
Moderate,Very fine,Subangular blocky,NA,NA,27372439,33471653
Moderate,Very fine,Subangular blocky,1,NA,27372440,33471654
Moderate,Fine,Subangular blocky,2,NA,27372440,33471655
,,Massive,NA,NA,27372441,33471656
Moderate,Medium,Subangular blocky,NA,NA,27372442,33471657
Moderate,Medium,Prismatic,NA,NA,27372443,33471658
Moderate,Fine,Granular,2,NA,27372689,33471986
Weak,Very fine,Subangular blocky,1,2,27372689,33471987
Moderate,Medium,Subangular blocky,NA,NA,27372690,33471988
Moderate,Medium,Granular,NA,NA,27372691,33471989
Weak,Fine,Platy,NA,NA,27372692,33471990
Weak,Fine,Prismatic,1,2,27372693,33471991
Moderate,Fine,Subangular blocky,2,NA,27372693,33471992
Weak,Medium,Prismatic,NA,NA,27372694,33471993
Weak,Coarse,Prismatic,NA,NA,27372694,33471994
Moderate,Fine,Subangular blocky,NA,NA,27372916,33472315
Weak,Medium,Prismatic,1,2,27372917,33472316
Moderate,Fine,Subangular blocky,2,NA,27372917,33472317
Moderate,Medium,Prismatic,1,2,27372918,33472318
Moderate,Medium,Subangular blocky,2,NA,27372918,33472319
Moderate,Fine,Subangular blocky,1,2,27372919,33472320
Moderate,Fine,Angular blocky,2,NA,27372919,33472321
