featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,36,46,50,36,46,50,17568390,8512875
Argillic horizon,46,61,65,122,155,192,76,94,127,17568390,8512876
Mollic epipedon,0,0,0,35,51,60,35,51,60,17568391,8512873
Argillic horizon,35,51,85,90,117,152,55,66,67,17568391,8512874
