erokind,rvindicator,cokey,coeroacckey
Rill erosion,No ,17568390,1198380
Sheet erosion,Yes,17568390,1198381
Sheet erosion,Yes,17568391,1198378
Rill erosion,No ,17568391,1198379
Rill erosion,No ,17568392,1198382
Sheet erosion,Yes,17568392,1198383
