texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51304163,102498657
SIL,No ,No ,Silt loam,51304164,102498658
SICL,No ,Yes,Silty clay loam,51304164,102498659
SIC,No ,No ,Silty clay,51304165,102498660
SICL,No ,Yes,Silty clay loam,51304165,102498661
SICL,No ,Yes,Silty clay loam,51304231,102498772
SIC,No ,No ,Silty clay,51304231,102498773
SICL,No ,Yes,Silty clay loam,51304232,102498774
SICL,No ,Yes,Silty clay loam,51304233,102498775
SIC,No ,No ,Silty clay,51304233,102498776
SICL,No ,Yes,Silty clay loam,51304234,102498777
SIL,No ,No ,Silt loam,51304234,102498778
SICL,No ,Yes,Silty clay loam,51304235,102498779
SICL,No ,Yes,Silty clay loam,51304236,102498780
SICL,No ,Yes,Silty clay loam,51304237,102498781
SIC,No ,No ,Silty clay,51304237,102498782
SICL,No ,Yes,Silty clay loam,51304238,102498783
SIC,No ,No ,Silty clay,51304239,102498784
SICL,No ,Yes,Silty clay loam,51304239,102498785
SICL,No ,Yes,Silty clay loam,51304240,102498786
SIC,No ,No ,Silty clay,51304240,102498787
SIC,No ,Yes,Silty clay,51304241,102498788
SICL,No ,No ,Silty clay loam,51304241,102498789
SICL,No ,Yes,Silty clay loam,51304242,102498790
SIL,No ,No ,Silt loam,51304242,102498791
SIC,No ,Yes,Silty clay,51304243,102498792
SICL,No ,No ,Silty clay loam,51304243,102498793
SICL,No ,Yes,Silty clay loam,51304244,102498794
SIL,No ,No ,Silt loam,51304244,102498795
SICL,No ,Yes,Silty clay loam,51304245,102498796
SIL,No ,No ,Silt loam,51304245,102498797
SICL,No ,Yes,Silty clay loam,51304246,102498798
SIL,No ,No ,Silt loam,51304246,102498799
SIL,No ,Yes,Silt loam,51304247,102498800
SIL,No ,Yes,Silt loam,51304248,102498801
SICL,No ,Yes,Silty clay loam,51304249,102498802
SIC,No ,No ,Silty clay,51304249,102498803
SIC,No ,Yes,Silty clay,51304250,102498804
SICL,No ,No ,Silty clay loam,51304250,102498805
SICL,No ,Yes,Silty clay loam,51304251,102498806
SIL,No ,No ,Silt loam,51304251,102498807
SIL,No ,Yes,Silt loam,51304252,102498808
