plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PLOC,Platanus occidentalis,American sycamore,17568371,30197840
QUBI,Quercus bicolor,swamp white oak,17568371,30197841
QUPA2,Quercus palustris,pin oak,17568371,30197842
BENI,Betula nigra,river birch,17568371,30197843
CEOC,Celtis occidentalis,common hackberry,17568371,30197844
FRPE,Fraxinus pennsylvanica,green ash,17568371,30197845
CARYA,Carya,hickory,17568371,30197846
QUMA2,Quercus macrocarpa,bur oak,17568371,30197847
ACSA2,Acer saccharinum,silver maple,17568371,30197848
POPUL,Populus,cottonwood,17568371,30197849
SALIX,Salix,willow,17568371,30197850
ACSA2,Acer saccharinum,silver maple,17568392,30198138
POPUL,Populus,cottonwood,17568392,30198139
SALIX,Salix,willow,17568392,30198140
CARYA,Carya,hickory,17568392,30198141
QUMA2,Quercus macrocarpa,bur oak,17568392,30198142
BENI,Betula nigra,river birch,17568392,30198143
CEOC,Celtis occidentalis,common hackberry,17568392,30198144
FRPE,Fraxinus pennsylvanica,green ash,17568392,30198145
PLOC,Platanus occidentalis,American sycamore,17568392,30198146
QUBI,Quercus bicolor,swamp white oak,17568392,30198147
QUPA2,Quercus palustris,pin oak,17568392,30198148
