wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,11,NA,SALIX,Salix,willow,17568392,94802246
NA,8,NA,ACSA2,Acer saccharinum,silver maple,17568392,94802247
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17568392,94802248
NA,11,NA,QUMA2,Quercus macrocarpa,bur oak,17568392,94802249
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17568392,94802250
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17568392,94802251
NA,11,NA,BENI,Betula nigra,river birch,17568392,94802252
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,17568392,94802253
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,17568392,94802254
NA,4,NA,SAMBU,Sambucus,elderberry,17568392,94802255
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,17568392,94802256
NA,11,NA,PLOC,Platanus occidentalis,American sycamore,17568392,94802257
NA,11,NA,QUBI,Quercus bicolor,swamp white oak,17568392,94802258
NA,11,NA,QUPA2,Quercus palustris,pin oak,17568392,94802259
NA,2,NA,EUBU6,Euonymus bungeanum,Winterberry,17568392,94802260
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,17568371,94801630
NA,11,NA,PLOC,Platanus occidentalis,American sycamore,17568371,94801631
NA,11,NA,QUBI,Quercus bicolor,swamp white oak,17568371,94801632
NA,11,NA,QUPA2,Quercus palustris,pin oak,17568371,94801633
NA,2,NA,EUBU6,Euonymus bungeanum,Winterberry,17568371,94801634
NA,11,NA,BENI,Betula nigra,river birch,17568371,94801635
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,17568371,94801636
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,17568371,94801637
NA,4,NA,SAMBU,Sambucus,elderberry,17568371,94801638
NA,11,NA,QUMA2,Quercus macrocarpa,bur oak,17568371,94801639
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17568371,94801640
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17568371,94801641
NA,11,NA,SALIX,Salix,willow,17568371,94801642
NA,8,NA,ACSA2,Acer saccharinum,silver maple,17568371,94801643
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17568371,94801644
